rodada,time,jogador,posição,jogou,pontos,pontos média,preço,preço var.,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,confronto,mando
201604,Sport,Agenor,Goleiro,false,0.00,0.00,4.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spt x cor,true
201605,Sport,Agenor,Goleiro,false,0.00,0.00,4.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,scz x spt,false
201606,Sport,Agenor,Goleiro,false,0.00,0.00,4.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spt x cam,true
201607,Sport,Agenor,Goleiro,false,0.00,0.00,4.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cfc x spt,false
201608,Sport,Agenor,Goleiro,false,0.00,0.00,4.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,san x spt,false
201609,Sport,Agenor,Goleiro,false,0.00,0.00,4.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spt x flu,true
201610,Sport,Agenor,Goleiro,false,0.00,0.00,4.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sao x spt,false
201611,Sport,Agenor,Goleiro,false,0.00,0.00,4.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spt x cha,true
201612,Sport,Agenor,Goleiro,true,0.50,0.50,3.25,-0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,vit x spt,false
201613,Sport,Agenor,Goleiro,true,-5.50,-2.50,1.90,-1.35,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3,spt x pal,true
201614,Sport,Agenor,Goleiro,true,1.70,-1.10,3.02,1.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,pon x spt,false
201615,Sport,Agenor,Goleiro,false,0.00,-1.10,3.02,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spt x gre,true
201616,Sport,Agenor,Goleiro,false,0.00,-1.10,3.02,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cru x spt,false
201617,Sport,Agenor,Goleiro,false,0.00,-1.10,3.02,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spt x cap,true
201618,Sport,Agenor,Goleiro,false,0.00,-1.10,3.02,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spt x ame,true
201619,Sport,Agenor,Goleiro,false,0.00,-1.10,3.02,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fig x spt,false
201620,Sport,Agenor,Goleiro,false,0.00,-1.10,3.02,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spt x fla,true
201621,Sport,Agenor,Goleiro,false,0.00,-1.10,3.02,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bot x spt,false
201622,Sport,Agenor,Goleiro,false,0.00,-1.10,3.02,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spt x int,true
201623,Sport,Agenor,Goleiro,false,0.00,-1.10,3.02,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cor x spt,false
201624,Sport,Agenor,Goleiro,false,0.00,-1.10,3.02,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spt x scz,true
201625,Sport,Agenor,Goleiro,true,-2.30,-1.40,2.19,-0.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,cam x spt,false
201626,Sport,Agenor,Goleiro,true,-2.00,-1.52,2.14,-0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,spt x cfc,true
201627,Sport,Agenor,Goleiro,false,0.00,-1.52,2.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spt x san,true
201628,Sport,Agenor,Goleiro,false,0.00,-1.52,2.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,flu x spt,false
