"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FD","FF","FS","G","I","PE","RB","A","GC","SG","FT","DD","GS","CV","PP","DP"
"1","Bruno Rangel Domingues","Bruno Rangel","https://s.glbimg.com/es/sde/f/2016/04/27/3c7ecd662014838c83e615e22a14c643_FORMATO.png",51683,10,"CHA","ata","Provável",1.6,15.21,-0.28,6.21,10,1,20,4,3,13,7,5,13,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Bruno César Pereira da Silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2016/05/20/473777983ee50165bf691b0f029cac11_FORMATO.png",68698,10,"BOT","mei","Provável",2.1,7.14,-0.73,3.19,10,2,15,2,8,10,NA,4,29,25,1,1,NA,NA,NA,NA,NA,NA,NA
"3","Rafael Pires Monteiro","Rafael","https://s.glbimg.com/es/sde/f/2016/04/29/43e8562bfd0ac31a9d9fd5bd5f87aee8_FORMATO.png",68928,10,"CRU","gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","André Felipe Ribeiro de Souza","André","https://s.glbimg.com/es/sde/f/2016/04/28/811ea1b5cff7a2f7e4bddd3967fa35ac_FORMATO.png",68690,10,"COR","ata","Contundido",0,6.45,0,0.53,7,2,11,1,NA,5,1,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Adalberto dos Santos Rodrigues","Adalberto","https://s.glbimg.com/es/sde/f/2016/05/09/8a1bf4ce5ccc93ee1da6783ea2355fd0_FORMATO.png",51549,10,"AME","zag","Provável",0.4,5.68,-1.69,5.94,5,NA,5,1,NA,6,2,NA,21,5,1,NA,1,NA,NA,NA,NA,NA,NA
"6","Alison Wágner Lira Ferreira","Alison","https://s.glbimg.com/es/sde/f/2016/05/09/d7263e570ed2a87bc24ead8f629b3d34_FORMATO.png",51702,10,"AME","zag","Dúvida",0,2.04,0,0,4,1,2,NA,2,4,NA,1,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Francisco Sousa dos Santos","Chiquinho","https://s.glbimg.com/es/sde/f/2016/04/20/789fa4f8d7f77207cd6c671fc8ad76fa_FORMATO.png",68711,10,"FLA","lat","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2016/04/20/cac9ebd94cc82a0b98f4055f9667d4e6_FORMATO.png",36540,10,"FLA","zag","Contundido",0,12.95,0,3.7,3,1,1,NA,NA,2,NA,NA,3,5,NA,NA,1,NA,NA,NA,NA,NA,NA
"9","Tiago dos Santos Alves","Tiago Alves","https://s.glbimg.com/es/sde/f/2016/05/01/5f47ce9d3a4af5acb91336921bbf7c64_FORMATO.png",51495,10,"PON","zag","Nulo",0,3.08,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Bruno Rodrigo Fenelon Palomo","Bruno Rodrigo","https://s.glbimg.com/es/sde/f/2016/04/28/b19790a721b5fdde81e82943deee9414_FORMATO.png",51705,10,"CRU","zag","Provável",5.6,11.1,0.92,4.24,8,2,8,NA,5,4,1,NA,12,13,NA,NA,2,NA,NA,NA,NA,NA,NA
"11","Demerson Bruno Costa","Demerson","https://s.glbimg.com/es/sde/f/2011/09/27/c06dfa35e38cd49e5c0ca9d2adb1960e_FORMATO.jpeg",68723,10,"CHA","zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Giuliano Victor de Paula","Giuliano","https://s.glbimg.com/es/sde/f/2016/04/30/6abcfcc0e937e32dd475d4322fab30f8_FORMATO.png",51548,10,"GRE","mei","Provável",5.5,14.5,1.05,5.36,10,NA,11,8,6,8,3,1,32,12,1,NA,NA,1,NA,NA,NA,NA,NA
"13","Edmílson dos Santos Silva","Edmílson","https://s.glbimg.com/es/sde/f/2016/05/20/f5d805e44f2c8b3736ac44c360e1b82f_FORMATO.jpeg",55519,10,"SPO","ata","Provável",2.7,7.04,0.49,3.23,7,2,6,6,6,5,2,8,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","José Nivaldo Martins Constante","Nivaldo","https://s.glbimg.com/es/sde/f/2016/04/27/60b12bac28785d18e714ae866c98e6e7_FORMATO.png",52897,10,"CHA","gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Víctor Leandro Bagy","Victor","https://s.glbimg.com/es/sde/f/2016/04/26/832210cff768e7a0bcc99eadd2bf79d1_FORMATO.png",52950,10,"ATL","gol","Provável",-2,10.18,-1.81,-0.05,9,NA,NA,NA,NA,1,NA,NA,9,1,NA,NA,1,NA,9,16,NA,NA,NA
"16","Túlio Vinícius Fróes de Melo","Túlio de Melo","https://s.glbimg.com/es/sde/f/2016/05/01/888bd2ad97a3e922521ae1bf34c965bd_FORMATO.png",54797,10,"SPO","ata","Nulo",0,2.77,0,0.32,5,NA,1,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Luis Ricardo Silva Umbelino","Luis Ricardo","https://s.glbimg.com/es/sde/f/2016/05/20/f1f631c4c995df1548717967d445801f_FORMATO.png",55348,10,"BOT","lat","Provável",8.2,8.87,1.8,4,8,1,1,2,NA,5,NA,NA,30,15,1,NA,1,1,NA,NA,NA,NA,NA
"18","Antonio Eduardo Pereira dos Santos","Kanu",NA,51792,10,"VIT","zag","Provável",3.7,3.69,0.11,4.35,2,NA,2,NA,NA,1,NA,NA,3,3,NA,NA,1,NA,NA,NA,NA,NA,NA
"19","Lins Lima de Britto","Lins","https://s.glbimg.com/es/sde/f/2016/05/25/7b9ce78a7438f2bac4a0594608654c28_FORMATO.jpeg",53669,10,"FIG","ata","Provável",1.4,3.27,-1.15,2.3,5,NA,3,2,1,5,NA,1,6,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"20","Vinícius Soares Eutropio","Vinícius Eutrópio","https://s.glbimg.com/es/sde/f/2016/06/23/6c8885441c553285d3f9f37edc2cfcb7_FORMATO.png",60780,10,"FIG","tec","Provável",4.52,8.68,0.32,3.53,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Rafael de Souza Pereira","Rafael Carioca","https://s.glbimg.com/es/sde/f/2016/04/26/c7a8380a02c4515641cb7be29a3a8f5a_FORMATO.png",60784,10,"ATL","mei","Provável",3,10.58,0.23,3.74,9,1,8,1,NA,13,1,NA,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Ytalo José Oliveira dos Santos","Ytalo","https://s.glbimg.com/es/sde/f/2016/02/01/5da41b38038ab484b55b7e40fd2f432c_FORMATO.jpeg",53148,10,"SAO","ata","Nulo",1,4.57,-0.1,3.73,7,NA,2,2,5,5,1,1,7,6,NA,NA,NA,1,NA,NA,NA,NA,NA
"23","João Paulo da Silva","João Paulo","https://s.glbimg.com/es/sde/f/2016/04/28/fedb726ec6d4804d5d34bf905cceca24_FORMATO.png",56102,10,"COR","mei","Provável",0,5.81,0,2.38,9,3,14,4,3,2,1,NA,21,13,NA,NA,NA,1,NA,NA,NA,NA,NA
"24","Marcos Antônio da Silva Gonçalves","Marquinhos","https://s.glbimg.com/es/sde/f/2016/04/30/6dd38f550a44a2bcb5094495271fd09a_FORMATO.png",60788,10,"INT","mei","Nulo",0,3.82,0,0.2,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Luan Michel de Louzã","Luan","https://s.glbimg.com/es/sde/f/2016/05/01/b382e271d658c1a86a3f257ca46cfb8e_FORMATO.png",60834,10,"PAL","ata","Nulo",0,1.51,0,-0.1,1,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
