"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","A","CA","FC","FF","FS","I","PE","RB","FD","FT","G","DD","GS","SG","CV","GC","PP","DP"
"1","Alexi Stival","Cuca","https://s.glbimg.com/es/sde/f/2016/05/01/ffe92c9e05e8100cdb59ce176a5352f5_FORMATO.png",42411,14,"PAL","tec","Provável",1.74,13.68,-0.31,4.26,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2016/05/01/ba32976a24a9a6f813303a9bcd016693_FORMATO.png",36612,14,"PAL","mei","Provável",2.5,8.6,0.03,2.19,9,1,2,13,1,13,1,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Júlio César Jacobi","Júlio César","https://s.glbimg.com/es/sde/f/2016/04/29/88d18a6c7e76b53f49c068867e67a91b_FORMATO.png",49673,14,"FLU","gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Magno Alves de Araújo","Magno Alves","https://s.glbimg.com/es/sde/f/2016/04/29/c7b7baa7ccfa38f9c782090e8e24b49c_FORMATO.png",36650,14,"FLU","ata","Nulo",0.1,5.54,-0.28,2.12,11,1,NA,4,4,6,2,17,3,4,1,1,NA,NA,NA,NA,NA,NA,NA
"5","Tiago Cardoso dos Santos","Tiago Cardoso","https://s.glbimg.com/es/sde/f/2016/05/01/ae7159c592fbc29db5bbfe03c9abb68e_FORMATO.png",37601,14,"STC","gol","Provável",11,7.87,2.38,2.16,14,NA,1,NA,NA,2,NA,6,NA,NA,NA,NA,21,20,2,NA,NA,NA,NA
"6","Bruno Vieira do Nascimento","Bruno","https://s.glbimg.com/es/sde/f/2016/05/01/d2edee13739b924fb1847c5369f28455_FORMATO.png",42499,14,"SAO","lat","Provável",0,9.01,0,3.65,10,2,2,15,NA,13,NA,33,12,1,NA,NA,NA,NA,4,NA,NA,NA,NA
"7","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2016/04/20/cac9ebd94cc82a0b98f4055f9667d4e6_FORMATO.png",36540,14,"FLA","zag","Nulo",0,12.95,0,3.7,3,NA,1,1,NA,2,NA,3,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"8","Fernando Gabriel Vougado Ribeiro","Fernando Gabriel","https://s.glbimg.com/es/sde/f/2016/07/13/0123f8e7423b5fa6c0cfed8f9932062e_FORMATO.png",49737,14,"STC","mei","Nulo",0,6.71,0,0.69,7,NA,1,5,1,4,NA,25,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"9","Ernando Rodrigues Lopes","Ernando","https://s.glbimg.com/es/sde/f/2016/04/30/4281780d649686f58d2350aa3f372023_FORMATO.png",49651,14,"INT","zag","Provável",3.6,12.11,0.12,4.7,14,2,2,10,4,4,NA,26,14,3,NA,2,NA,NA,5,NA,NA,NA,NA
"10","Fabricio dos Santos Silva","Fabrício","https://s.glbimg.com/es/sde/f/2016/06/28/4bfcde55b9052618ae82d46dc33d27dd_FORMATO.jpeg",49674,14,"PAL","lat","Nulo",0,6.56,0,0.97,3,NA,1,NA,NA,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
