"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","athletes$atletas$scout"
"1","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2016/05/01/ca4c8f110ce5a6969a820fa3ff17eb5f_FORMATO.png",38100,18,"SPO","zag","Nulo",0,6.22,0,0.74,14,NA
"2","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,18,"BOT","gol","Contundido",0,18,0,0,0,NA
"3","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2016/04/28/1dc0f8069c06483703657ee804569648_FORMATO.png",38067,18,"COR","mei","Contundido",0,7.09,0,1.88,6,NA
"4","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2016/04/29/d67882f35767ba55ac29318622b2d920_FORMATO.png",37656,18,"CRU","gol","Suspenso",0,7.89,-0.25,0.56,18,NA
"5","Denilson Pereira Neves","Denilson","https://s.glbimg.com/es/sde/f/2016/07/23/bdc783a5b428b81232a74d3e69fd5080_FORMATO.png",38064,18,"CRU","mei","Nulo",0,8,0,0,0,NA
"6","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2016/05/09/245b6785a7c26b5b1c667315f40b3768_FORMATO.png",37604,18,"ATL","zag","Dúvida",0,4.78,1.61,4.67,10,NA
"7","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2016/04/29/505bb95d4110ddb7f27fe3607bdc1e3d_FORMATO.png",37655,18,"FIG","ata","Suspenso",0,11.21,0,3.58,14,NA
"8","Dagoberto Pelentier","Dagoberto","https://s.glbimg.com/es/sde/f/2016/05/01/959bce7e4083d35acad0cf216886af9b_FORMATO.png",37613,18,"VIT","ata","Contundido",0,7.27,1.07,1.64,16,NA
"9","Carlos Alberto Gomes de Jesus","Carlos Alberto","https://s.glbimg.com/es/sde/f/2016/04/29/6d844ecf2e201d5ccaf0120e89a2a63f_FORMATO.png",37652,18,"FIG","mei","Provável",0,6.85,0,5.47,3,NA
"10","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2016/05/01/652eaba0da463e14e3f20b2102573e34_FORMATO.png",37657,18,"PAL","zag","Contundido",0,4.49,0,2.44,10,NA
"11","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2016/05/30/1c83a2b2521974f5bd8599c7f316093a_FORMATO.png",37673,18,"PAL","ata","Suspenso",0,6.48,0,1.05,6,NA
"12","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,18,"CRU","mei","Nulo",0,10.31,0,4.03,15,NA
"13","Nílton Ferreira Júnior","Nilton","https://s.glbimg.com/es/sde/f/2016/04/30/249fed612a2888df8575c1a9be60b53a_FORMATO.png",38573,18,"INT","mei","Nulo",0,4.5,0,1.45,2,NA
"14","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2016/04/28/ef1d2a5ff504e9d69923adec9d7edfe3_FORMATO.png",37608,18,"COR","mei","Nulo",0,2.88,0,1.94,5,NA
"15","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2016/04/29/342b9727e7f297bb78896cf41975a0af_FORMATO.png",37662,18,"FLU","lat","Nulo",0,9.26,0,2.9,11,NA
"16","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2016/05/01/d9abb78626aaa013bb379d82f2084409_FORMATO.png",37607,18,"SAO","mei","Nulo",0,10.91,-0.34,0.27,9,NA
"17","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2016/04/29/e356e8f08f83d738804569dcdf24662b_FORMATO.png",37688,18,"FLU","mei","Provável",0,10.75,0,3.13,16,NA
"18","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2016/07/13/3c80bd862910177950643eb218b40870_FORMATO.png",37701,18,"STC","lat","Provável",0,8.54,0.87,3.25,14,NA
"19","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2016/04/28/73fd5c42810ee2f6303956f06682f35e_FORMATO.png",37705,18,"COR","mei","Provável",0,15.7,0,4.8,12,NA
"20","Marcelo Boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2016/04/27/b9625b133d8e576300589a4318722188_FORMATO.png",37788,18,"CHA","gol","Nulo",0,1.12,0,-0.18,5,NA
"21","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2016/05/01/1c67e891759a1d905e98b60faab6c0d8_FORMATO.png",37718,18,"PAL","mei","Nulo",0,6.05,0,-1.4,1,NA
"22","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2016/04/30/24c6dcd5d18502d7d51725cc7c39f9d2_FORMATO.png",37770,18,"GRE","gol","Nulo",0,13.72,0.77,4.12,15,NA
"23","Marcos Venâncio de Albuquerque","Ceará","https://s.glbimg.com/es/sde/f/2016/07/07/95225c9c5fb74d165133768a0c788621_FORMATO.png",37790,18,"INT","lat","Nulo",0,5.5,0,2.12,6,NA
"24","Humberlito Borges Teixeira","Borges","https://s.glbimg.com/es/sde/f/2016/05/03/436a2c59283ae195563be05647dbf600_FORMATO.jpeg",37941,18,"AME","ata","Nulo",0,4.38,0,1.45,10,NA
"25","Rafael Augusto Sobis do Nascimento","Rafael Sobis","https://s.glbimg.com/es/sde/f/2016/07/06/9f448978203e98dc8d4f57f547ed8a44_FORMATO.png",37798,18,"CRU","ata","Provável",0,19.47,6.1,8.86,5,NA
"26","Cristian Martins Cabral","Cristian","https://s.glbimg.com/es/sde/f/2016/05/01/faa6415e93854cb938cf48c3b0cdef46_FORMATO.png",37837,18,"PON","mei","Nulo",0,4.05,0,0.34,9,NA
"27","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2016/07/07/b6a64e9dceecd9ffec83258abb8067f4_FORMATO.png",37792,18,"COR","mei","Provável",0,2.67,0.32,1.61,12,NA
"28","Elano Blumer","Elano","https://s.glbimg.com/es/sde/f/2016/05/01/c5eac32204a0124e851be34b9419f9db_FORMATO.png",37917,18,"SAN","mei","Nulo",0,5.4,-0.3,-0.35,4,NA
"29","Wendel Geraldo Maurício e Silva","Wendel","https://s.glbimg.com/es/sde/f/2016/07/13/418cbe11ebed1298c1077cb200a3f624_FORMATO.png",38021,18,"PON","mei","Suspenso",0,6.47,-0.67,2.15,4,NA
"30","Maicosuel Reginaldo de Matos","Maicosuel","https://s.glbimg.com/es/sde/f/2016/07/07/59e04fe0887237e428903b15b4519ccd_FORMATO.png",37851,18,"ATL","mei","Provável",0,8.59,-0.53,3.54,5,NA
"31","Danilo Leandro Dias","Danilo Dias",NA,37894,18,"AME","ata","Nulo",0,3.28,0,0.2,1,NA
"32","Rodrigo Marcos dos Santos","Rodrigo Mancha","https://s.glbimg.com/es/sde/f/2016/05/01/28ca1fbce7ff092e6eebee52283a14f2_FORMATO.png",38579,18,"SPO","mei","Nulo",0,2.37,0,0.97,11,NA
"33","Edcarlos Conceição Santos","Edcarlos","https://s.glbimg.com/es/sde/f/2016/05/09/547d01877f79db5b42a3cb3f5e8b7cbe_FORMATO.png",38061,18,"ATL","zag","Nulo",0,9.61,0,3.5,4,NA
"34","Cleber Santana Loureiro","Cleber Santana","https://s.glbimg.com/es/sde/f/2016/04/27/c3966e4c695292b7e3a189109ef1b5a2_FORMATO.png",38032,18,"CHA","mei","Provável",0,4.62,-1.3,1.93,17,NA
"35","Mário Lúcio Duarte Costa","Aranha","https://s.glbimg.com/es/sde/f/2015/10/27/73b2f36e3fcfea31f9a437258438de26_FORMATO.jpeg",37984,18,"PON","gol","Nulo",0,6,0,0,0,NA
"36","Danilo Verón Bairros","Danilinho","https://s.glbimg.com/es/sde/f/2016/07/19/ba0b7f6b07eaec07dd2060de31bbe42f_FORMATO.jpeg",38617,18,"FLU","ata","Nulo",0,8.67,0,-0.6,1,NA
"37","Matheus Ferraz Pereira","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2016/05/01/ee9c9754f977b8bf74b59867238b6618_FORMATO.png",38632,18,"SPO","zag","Provável",0,3.3,-1.47,1.04,14,NA
"38","Douglas dos Santos","Douglas","https://s.glbimg.com/es/sde/f/2016/04/30/769e4a5d5c29aacc6485e57746072683_FORMATO.png",38738,18,"GRE","mei","Nulo",0,7.76,0.65,2.41,16,NA
"39","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,18,"SAO","zag","Nulo",0,10.17,-1,1.91,12,NA
"40","Anderson Luís de Abreu Oliveira","Anderson","https://s.glbimg.com/es/sde/f/2016/04/30/782b68bfa6a0e5f34271aa9a00e550be_FORMATO.png",38852,18,"INT","mei","Dúvida",0,12.06,0.21,1.86,11,NA
"41","Márcio José de Oliveira","Marcinho","https://s.glbimg.com/es/sde/f/2016/07/14/f73d6a34054528c4909ddb6c6ad71cb0_FORMATO.png",38763,18,"STC","mei","Nulo",0,2.62,0,-1.8,1,NA
"42","Renato Dirnei Florêncio","Renato","https://s.glbimg.com/es/sde/f/2016/05/01/49909c7b610545598b92f0e07bdee08e_FORMATO.png",38908,18,"SAN","mei","Provável",0,11.48,-0.24,2.45,18,NA
"43","Leandro Luchese Guerreiro","Leandro Guerreiro","https://s.glbimg.com/es/sde/f/2016/05/09/9fcbb33c340908edfdb650fe7c281ed4_FORMATO.png",38822,18,"AME","mei","Provável",0,3.32,-0.55,1.43,17,NA
