"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","DD","DP","FC","FS","GS","PE","SG","A","FD","FF","G","RB","I","FT","CV","PP","GC"
"1","Tiago Cardoso dos Santos","Tiago Cardoso","https://s.glbimg.com/es/sde/f/2016/05/01/ae7159c592fbc29db5bbfe03c9abb68e_FORMATO.png",37601,19,"STC","gol","Provável",5.5,8.36,0.45,3.23,19,2,28,2,1,3,26,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2016/05/09/245b6785a7c26b5b1c667315f40b3768_FORMATO.png",37604,19,"ATL","zag","Provável",1.1,3.84,-0.94,4.35,11,2,NA,NA,7,7,NA,25,5,1,1,3,2,6,NA,NA,NA,NA,NA
"3","Celso Juarez Roth","Celso Roth","https://s.glbimg.com/es/sde/f/2010/11/18/8873abde4ad46200c20910f77ff5fb28_FORMATO.jpeg",36856,19,"INT","tec","Provável",0,9.27,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2016/05/01/ba32976a24a9a6f813303a9bcd016693_FORMATO.png",36612,19,"PAL","mei","Suspenso",-1,8.51,-0.86,2.45,14,3,NA,NA,20,19,NA,21,NA,1,NA,1,NA,25,2,NA,NA,NA,NA
"5","Oswaldo de Oliveira","Oswaldo de Oliveira","https://s.glbimg.com/es/sde/f/2016/07/21/cdcdb202564ba02337983b1f8f71cafb_FORMATO.png",36940,19,"SPO","tec","Provável",1.82,8.45,0.25,3.02,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Paulo Autuori","Paulo Autuori","https://s.glbimg.com/es/sde/f/2016/05/02/b2a269f29451119f2d3811442679dc7a_FORMATO.png",36943,19,"ATL","tec","Provável",1.02,7.08,-0.57,3.23,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2016/04/20/cac9ebd94cc82a0b98f4055f9667d4e6_FORMATO.png",36540,19,"FLA","zag","Contundido",0,11.91,0,3.35,6,1,NA,NA,1,2,NA,8,2,NA,NA,3,NA,7,NA,NA,NA,NA,NA
"8","Luiz Carlos de Oliveira Preto","Pintado",NA,37424,19,"SAO","tec","Nulo",3.37,12.3,0.23,3.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2016/05/01/d9abb78626aaa013bb379d82f2084409_FORMATO.png",37607,19,"SAO","mei","Nulo",0,10.91,0,0.27,9,1,NA,NA,7,2,NA,29,NA,1,6,6,NA,2,6,NA,NA,NA,NA
"10","Magno Alves de Araújo","Magno Alves","https://s.glbimg.com/es/sde/f/2016/04/29/c7b7baa7ccfa38f9c782090e8e24b49c_FORMATO.png",36650,19,"FLU","ata","Nulo",0,5.43,0,1.94,12,NA,NA,NA,4,6,NA,17,NA,1,4,4,1,3,2,1,NA,NA,NA
"11","Luis Antônio Venker de Menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",37281,19,"CRU","tec","Provável",3.11,7.43,0.1,3.4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Dagoberto Pelentier","Dagoberto","https://s.glbimg.com/es/sde/f/2016/05/01/959bce7e4083d35acad0cf216886af9b_FORMATO.png",37613,19,"VIT","ata","Contundido",0,7.27,0,1.64,16,3,NA,NA,15,28,NA,43,NA,NA,14,17,NA,7,5,1,NA,NA,NA
"13","Deyvison Rogério da Silva","Bobô","https://s.glbimg.com/es/sde/f/2016/04/30/cc19b73e952917608905af7757b1b398_FORMATO.png",38139,19,"GRE","ata","Nulo",0,5.33,0,1.8,9,1,NA,NA,5,2,NA,5,NA,1,3,4,1,2,2,NA,NA,NA,NA
