"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","FS","PE","DD","GS","SG","FC","FD","FF","FT","G","I","CA","RB","A","CV","GC","PP","DP"
"1","Magno Alves de Araújo","Magno Alves","https://s.glbimg.com/es/sde/f/2016/04/29/c7b7baa7ccfa38f9c782090e8e24b49c_FORMATO.png",36650,4,266,"ata","Nulo",0,5.44,0,0.2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Diego Cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2016/04/29/218be31082641b6814a593a00e28a095_FORMATO.png",38431,4,266,"gol","Provável",4.7,9.11,1.02,2.6,4,NA,2,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2016/04/29/505bb95d4110ddb7f27fe3607bdc1e3d_FORMATO.png",37655,4,316,"ata","Provável",5.9,13.11,0.67,7.15,4,4,8,NA,NA,NA,7,3,5,1,3,3,NA,NA,NA,NA,NA,NA,NA
"4","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2016/04/20/cac9ebd94cc82a0b98f4055f9667d4e6_FORMATO.png",36540,4,262,"zag","Contundido",0,12.95,0,3.7,3,2,3,NA,NA,1,1,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA
"5","Túlio Vinícius Fróes de Melo","Túlio de Melo","https://s.glbimg.com/es/sde/f/2016/05/01/888bd2ad97a3e922521ae1bf34c965bd_FORMATO.png",54797,4,292,"ata","Nulo",-0.3,3.01,-0.23,0.4,4,NA,3,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2016/05/01/ba32976a24a9a6f813303a9bcd016693_FORMATO.png",36612,4,275,"mei","Nulo",3.1,9.37,0.28,1.4,2,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA
"7","Oswaldo de Oliveira","Oswaldo de Oliveira","https://s.glbimg.com/es/sde/f/2016/05/01/c6897c70d68e2827f58c99a251df8b57_FORMATO.png",36940,4,292,"tec","Provável",1.11,6.03,-0.21,1.64,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,4,263,"gol","Contundido",0,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Leonardo José Aparecido de Moura","Leonardo","https://s.glbimg.com/es/sde/f/2016/05/01/17c90d261be180237a80821b235423f3_FORMATO.jpeg",36591,4,344,"zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,4,275,"gol","Provável",9.7,17.82,1.1,5.28,4,NA,3,6,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
