"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FF","FS","PE","RB","G","SG","FD","DD","GS","A","CV","I","FT","GC","PP","DP"
"1","Elicarlos Souza Santos","Elicarlos","https://s.glbimg.com/es/sde/f/2016/04/29/c60e01cd155db8e33220d9f2a9027f44_FORMATO.png",50313,6,"FIG","mei","Provável",2.4,8.25,-0.36,2.52,6,2,6,1,7,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Marcelo Oliveira Ferreira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2016/04/30/401897dab69a776fef1185ec3ba1b85f_FORMATO.png",50328,6,"GRE","lat","Contundido",0,15.55,0,7.67,3,1,7,NA,NA,10,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Felipe Menezes Jácomo","Felipe Menezes","https://s.glbimg.com/es/sde/f/2016/05/01/d3e5fd4f04b0228f20ed0c104162bf46_FORMATO.png",50295,6,"PON","mei","Nulo",0,4.93,0,1.7,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","David Braz de Oliveira Filho","David Braz","https://s.glbimg.com/es/sde/f/2016/05/01/7bca046ddd8602f61aef411fe78c444b_FORMATO.png",50317,6,"SAN","zag","Provável",4.8,8.3,0.49,2.77,6,1,4,1,1,20,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Leonardo Renan Simões de Lacerda","Léo","https://s.glbimg.com/es/sde/f/2016/04/29/442f1e513bf554cc4cbcce5ae7ace03b_FORMATO.png",50459,6,"CRU","zag","Nulo",0,1.99,0,0.9,2,1,2,3,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Fernando Gabriel Vougado Ribeiro","Fernando Gabriel","https://s.glbimg.com/es/sde/f/2016/06/02/26b087e1dac0a59c921e0d34a2abbcfe_FORMATO.jpeg",49737,6,"STC","mei","Nulo",0,8.85,0,2.65,4,NA,1,NA,4,11,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Wilson Rodrigues de Moura Júnior","Wilson","https://s.glbimg.com/es/sde/f/2016/04/28/451b957d5e77145a9740c1dd14e810fb_FORMATO.png",50284,6,"COR","gol","Provável",2,8,-0.74,3.12,6,NA,NA,NA,NA,1,NA,NA,1,NA,12,11,NA,NA,NA,NA,NA,NA,NA
"8","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2016/04/20/cac9ebd94cc82a0b98f4055f9667d4e6_FORMATO.png",36540,6,"FLA","zag","Contundido",0,12.95,0,3.7,3,1,1,NA,2,3,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Guilherme Milhomem Gusmão","Guilherme","https://s.glbimg.com/es/sde/f/2016/04/28/dffdad9720aa2f03053bdd0270fb8787_FORMATO.png",50294,6,"COR","mei","Provável",-1,13.54,-1.25,4.1,6,1,9,2,10,33,8,1,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA
"10","Everton Cardoso da Silva","Everton","https://s.glbimg.com/es/sde/f/2016/04/20/837d4d1c4d5f3460f897e9a3689ab070_FORMATO.png",50301,6,"FLA","mei","Nulo",0.3,12.93,-0.51,2.42,5,1,8,2,6,14,7,1,NA,NA,NA,NA,1,1,4,NA,NA,NA,NA
"11","Everton Leandro dos Santos Pinto","Everton Santos","https://s.glbimg.com/es/sde/f/2016/04/29/1aaa0e9e35c2a6eb01c03b59b13b0d1c_FORMATO.png",50326,6,"FIG","ata","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Hudson Rodrigues dos Santos","Hudson","https://s.glbimg.com/es/sde/f/2016/05/01/953543bc5a15bdf924109b07ae3bf85d_FORMATO.png",50324,6,"SAO","mei","Contundido",0,6.13,0,1.6,1,1,3,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Lucas Rios Marques","Lucas","https://s.glbimg.com/es/sde/f/2016/05/11/c42be00e62cf171cd7509aeab8ba6d9b_FORMATO.png",50362,6,"CRU","lat","Provável",-0.7,0.77,-0.13,-0.78,4,1,13,3,3,11,3,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"14","Vilson Xavier de Meneses Junior","Vilson","https://s.glbimg.com/es/sde/f/2016/04/28/84ef11bf1e3dd175d1638cfb032e579c_FORMATO.png",50439,6,"COR","zag","Contundido",0,5.64,0,4.03,3,1,3,1,NA,7,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Breno Vinicius Rodrigues Borges","Breno","https://s.glbimg.com/es/sde/f/2016/05/01/b7de8b8e99aca9df7de4c3f0097a939a_FORMATO.png",50408,6,"SAO","zag","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Wesley Lopes Beltrame","Wesley","https://s.glbimg.com/es/sde/f/2016/05/01/df95d867f8ae0ddd0e0485b9b344e610_FORMATO.png",50421,6,"SAO","mei","Contundido",0,2.03,0,-0.6,4,1,8,1,3,10,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Alan Kardec de Sousa Pereira Júnior","Alan Kardec","https://s.glbimg.com/es/sde/f/2016/05/01/077836a3746cb3cabb53890059f12ac9_FORMATO.png",50347,6,"SAO","ata","Provável",2,3.26,0.4,-0.15,6,1,9,6,8,10,2,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
"18","Giuliano Victor de Paula","Giuliano","https://s.glbimg.com/es/sde/f/2016/04/30/6abcfcc0e937e32dd475d4322fab30f8_FORMATO.png",51548,6,"GRE","mei","Provável",2.8,13.83,-1.93,6.38,6,NA,5,4,2,21,9,2,NA,4,NA,NA,1,NA,1,1,NA,NA,NA
"19","Ricardo Martins de Araújo","Kadu","https://s.glbimg.com/es/sde/f/2016/05/01/5ece8fb5b4713b05482aa2b88891e5cf_FORMATO.png",50427,6,"PON","zag","Provável",4,5.35,0.64,1.47,6,1,8,1,5,10,8,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"20","Henrique Adriano Buss","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/a9d9178f59821bfca73d485e636ad040_FORMATO.png",50856,6,"FLU","zag","Provável",5.2,10.27,0.87,3.08,6,1,3,3,4,13,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Denis Cesar de Matos","Denis","https://s.glbimg.com/es/sde/f/2016/05/01/9e4d589b32947151072c21d1d5b71747_FORMATO.png",51175,6,"SAO","gol","Provável",5,7.53,0.49,4.54,5,NA,NA,NA,NA,1,NA,NA,2,NA,7,4,NA,NA,NA,NA,NA,NA,NA
"22","Leandro Almeida da Silva","Leandro Almeida","https://s.glbimg.com/es/sde/f/2016/05/01/e56f9d56a969323a33eb9a57ca44f1b6_FORMATO.png",50462,6,"PAL","zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Carlos Eduardo Santos Oliveira","Eduardo","https://s.glbimg.com/es/sde/f/2015/10/26/0e028d72923de801deda4e00f4dcec3d_FORMATO.png",50645,6,"ATL","lat","Dúvida",0,4.64,0,2.67,4,3,5,1,7,16,9,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
"24","Carlos Eduardo Marques","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2016/05/09/0116bb68ed6ce1217105ff5c37cb6488_FORMATO.jpeg",50369,6,"ATL","mei","Nulo",-0.8,6.35,-1.6,0.7,3,1,2,1,5,6,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
