"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FD","FF","FS","G","PE","RB","A","SG","DD","GS","I","FT","CV","GC","PP","DP"
"1","Guilherme Ferreira Pinto","Negueba","https://s.glbimg.com/es/sde/f/2016/06/09/39131bc481659939592e7645f96c20b4_FORMATO.jpeg",70929,7,"GRE","ata","Nulo",0,10.39,0,2.25,4,3,2,3,2,7,1,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Deyvison Rogério da Silva","Bobô","https://s.glbimg.com/es/sde/f/2016/04/30/cc19b73e952917608905af7757b1b398_FORMATO.png",38139,7,"GRE","ata","Nulo",6,5.15,1.19,1.92,5,1,3,3,3,1,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Adniellyson da Silva Oliveira","Silva","https://s.glbimg.com/es/sde/f/2016/04/30/391ddcd13c6100152201590a5c2e2157_FORMATO.png",91917,7,"INT","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2016/04/28/1dc0f8069c06483703657ee804569648_FORMATO.png",38067,7,"COR","mei","Nulo",-0.8,7.43,-0.47,0.05,2,NA,2,1,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Silas Araújo da Silva","Silas","https://s.glbimg.com/es/sde/f/2015/05/09/0ad86f83590d595cc055c3696c0c0fc6_FORMATO.jpeg",91916,7,"INT","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2016/04/20/cac9ebd94cc82a0b98f4055f9667d4e6_FORMATO.png",36540,7,"FLA","zag","Contundido",0,12.95,0,3.7,3,1,1,NA,NA,2,NA,3,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"7","Réver Humberto Alves Araújo","Réver","https://s.glbimg.com/es/sde/f/2016/06/09/87bd56b5791b200ec2836ab62d7f49f7_FORMATO.jpeg",52253,7,"FLA","zag","Dúvida",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Rodrigo Marcos dos Santos","Rodrigo Mancha","https://s.glbimg.com/es/sde/f/2016/05/01/28ca1fbce7ff092e6eebee52283a14f2_FORMATO.png",38579,7,"SPO","mei","Provável",0,1.79,0,0.9,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,7,"BOT","gol","Contundido",0,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Edcarlos Conceição Santos","Edcarlos","https://s.glbimg.com/es/sde/f/2016/05/09/547d01877f79db5b42a3cb3f5e8b7cbe_FORMATO.png",38061,7,"ATL","zag","Nulo",0,9.61,0,3.5,4,1,5,NA,1,5,NA,11,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
