"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FF","FS","I","PE","RB","CV","SG","DD","GS","A","FD","G","PP","FT","DP","GC"
"1","Vanderlei Luxemburgo da Silva","Vanderlei Luxemburgo","https://s.glbimg.com/es/sde/f/2017/05/31/d059e86ab694b638ba5a43c3b0b0444f_FORMATO.png",41327,11,"SPO","tec","Provável",5.85,7.31,0.41,4.2,8,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2017/02/18/6e1bc225f8c1e82f9bea52b09540dd3a_FORMATO.png",37688,11,"SAO","mei","Nulo",0,4.87,0,-0.85,8,"São Paulo",2,11,3,7,2,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Anderson Pedro Nunes da Silva Campos","Anderson","https://s.glbimg.com/es/sde/f/2017/02/21/25b8eacc6ff420ba06c12861299fc24b_FORMATO.png",38001,11,"BAH","gol","Nulo",0,0.77,0,-2,1,"Bahia",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2017/04/19/b627c9025ae6426b1e4397a1e4806a3e_FORMATO.png",38067,11,"COR","mei","Nulo",0,5,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Alexandre Tadeu Gallo","Alexandre Gallo","https://s.glbimg.com/es/sde/f/2017/06/06/ee2b94270801b97042a4a5bdae50276b_FORMATO.png",41363,11,"VIT","tec","Provável",3.35,7.75,0.38,3.43,7,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,11,"CRU","mei","Provável",0,3.77,0,-0.5,6,"Cruzeiro",2,6,1,4,NA,13,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Renato Portaluppi","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2016/10/20/11389b106c935a0e20c5b557a4161683_FORMATO.png",41929,11,"GRE","tec","Provável",-0.53,15.09,-0.78,5.2,11,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/23/2e9071da78a7b84be87644f435c375ea_FORMATO.png",37662,11,"ATL","lat","Dúvida",0,8.14,0,3.17,8,"Atlético-PR",2,4,2,8,NA,20,10,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Mário Lúcio Duarte Costa","Aranha","https://s.glbimg.com/es/sde/f/2017/05/02/803e0f7a5e12a827547f82d97fb403f0_FORMATO.png",37984,11,"PON","gol","Provável",11,12.86,2.73,4.53,11,"Ponte Preta",NA,NA,NA,2,NA,4,NA,NA,5,17,13,NA,NA,NA,NA,NA,NA,NA
"10","Carlos Eduardo Santos Oliveira","Eduardo","https://s.glbimg.com/es/sde/f/2017/02/21/1667c807177ee329a96aa2102be09777_FORMATO.png",50645,11,"BAH","lat","Provável",11,7.48,2.18,3.25,11,"Bahia",1,17,2,9,2,59,20,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA
