"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","FC","FD","FF","FS","G","I","PE","PP","RB","CA","SG","DD","GS","FT","CV","DP","GC"
"1","Kayke Moreno de Andrade Rodrigues","Kayke","https://s.glbimg.com/es/sde/f/2017/05/02/175b6e25643dfdf97032cd564bc4e5c4_FORMATO.png",50402,13,"SAN","ata","Provável",-1.7,4.42,-1.44,2.15,11,"Santos",1,10,6,7,4,3,6,34,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"2","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2017/04/18/8397713ec780be3eaf28ae8d848c2736_FORMATO.png",36612,13,"PAL","lat","Nulo",0,6.8,0.01,1.35,6,"Palmeiras",NA,12,NA,NA,4,NA,NA,9,NA,4,1,2,NA,NA,NA,NA,NA,NA
"3","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/04/24/b3a0848ae3a447c87cf7c807185b37a6_FORMATO.png",36540,13,"FLA","zag","Nulo",0,5.92,0,3.98,5,"Flamengo",1,4,2,3,4,NA,NA,6,NA,8,3,1,NA,NA,NA,NA,NA,NA
"4","Luis Antônio Venker de Menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",37281,13,"CRU","tec","Provável",5.91,12.98,0.42,3.95,13,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2016/04/29/ec27531ace1e093fa1db50938eb9132b_FORMATO.png",38440,13,"FLU","mei","Contundido",0,3.54,0,0,1,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Diego Cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2016/04/29/218be31082641b6814a593a00e28a095_FORMATO.png",38431,13,"FLU","gol","Nulo",0,3.91,0,-1,3,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,NA
"7","Rafael Marques Pinto","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/04/24/b057662177ede29cb7aec5d2426bea3b_FORMATO.png",37623,13,"VAS","zag","Provável",4.2,2.47,0.88,0.3,5,"Vasco",NA,7,NA,NA,1,NA,1,12,NA,3,NA,NA,NA,NA,1,NA,NA,NA
"8","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2017/04/23/755b6b8cfd82322b66a137677617403d_FORMATO.png",37604,13,"ATL","zag","Nulo",0,3.37,0,0.85,6,"Atlético-PR",NA,6,NA,NA,6,NA,NA,15,NA,8,2,NA,NA,NA,NA,NA,NA,NA
"9","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2017/04/19/9884b370f7327ae579c283e865aabf79_FORMATO.png",37608,13,"COR","mei","Nulo",0,4,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Gilson Kleina","Gilson Kleina","https://s.glbimg.com/es/sde/f/2017/04/25/170c293b8b336044ef9d06f703796fcc_FORMATO.png",37306,13,"PON","tec","Provável",2.76,11.98,0.2,3.61,13,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2017/05/02/dfab84ee22e942e61a82ff8910b56353_FORMATO.png",38425,13,"PON","zag","Nulo",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2017/04/03/0262cdf9cadf70eee005c277def421cb_FORMATO.png",37655,13,"ATL","ata","Nulo",0.2,5.04,0.75,1.52,11,"Atlético-MG",NA,17,3,6,15,2,9,8,1,2,1,NA,NA,NA,1,NA,NA,NA
"13","Nilmar Honorato da Silva","Nilmar","https://s.glbimg.com/es/sde/f/2015/01/15/a8e42c4983ac87ffae524122491a9824_FORMATO.jpeg",37653,13,"SAN","ata","Nulo",0,8,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Ebert Willian Amâncio","Betão","https://s.glbimg.com/es/sde/f/2017/04/28/892740eaee3f590710c5572d2e84bbd1_FORMATO.png",37646,13,"AVA","zag","Provável",2.2,7,-1.12,2.82,12,"Avaí",NA,7,1,1,14,NA,NA,30,NA,11,3,5,NA,NA,NA,NA,NA,NA
"15","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png",37656,13,"CRU","gol","Provável",8,13.58,1.81,3.92,13,"Cruzeiro",NA,1,NA,NA,1,NA,NA,7,NA,NA,NA,5,18,13,NA,NA,NA,NA
"16","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2017/04/18/fa3a79559d24615c5cf4229992d82324_FORMATO.png",37607,13,"PAL","mei","Nulo",0,4.75,0,0.72,7,"Palmeiras",NA,4,2,8,4,NA,2,26,NA,6,2,NA,NA,NA,NA,NA,NA,NA
"17","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,13,"PAL","zag","Provável",1.1,9.04,-0.86,4.12,6,"Palmeiras",NA,9,1,1,8,NA,1,4,NA,6,NA,3,NA,NA,NA,NA,NA,NA
"18","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/23/2e9071da78a7b84be87644f435c375ea_FORMATO.png",37662,13,"ATL","lat","Provável",-1.7,6.71,-0.6,2.47,10,"Atlético-PR",1,8,NA,2,10,NA,NA,29,NA,10,3,3,NA,NA,NA,NA,NA,NA
"19","Marcelo Mendonça de Mattos Terra","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,13,"VAS","mei","Contundido",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Wagner Ferreira dos Santos","Wagner","https://s.glbimg.com/es/sde/f/2017/04/06/359066aa5d28530d44010771094091ab_FORMATO.png",37674,13,"VAS","mei","Provável",-3.4,4.02,-0.73,0.64,5,"Vasco",NA,6,NA,NA,2,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2017/05/25/b470b28b3b68d95eff43163148c236f8_FORMATO.png",37673,13,"COR","ata","Nulo",0,2.14,0,-1.6,7,"Coritiba",NA,12,1,1,4,NA,4,15,1,3,2,NA,NA,NA,NA,NA,NA,NA
