"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FS","I","PE","RB","A","FD","FF","FT","SG","G","CV","DD","GS","DP","PP","GC"
"1","Thallyson Gabriel Lobo Seabra","Thallyson","https://s.glbimg.com/es/sde/f/2017/02/14/3e158bd1bb119b3c60c1c2d557560d42_FORMATO.png",94144,16,"SPO","mei","Dúvida",-0.8,0.79,-0.04,-0.28,10,"Sport",2,10,7,1,12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Diego Gomes dos Santos","Diego Gomes","https://s.glbimg.com/es/sde/f/2017/05/02/c6169204fbfca94a9affdd9de721a72c_FORMATO.png",94045,16,"SAN","mei","Nulo",0,1,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/04/24/b3a0848ae3a447c87cf7c807185b37a6_FORMATO.png",36540,16,"FLA","zag","Dúvida",4,6.29,0.37,3.98,6,"Flamengo",3,4,4,NA,10,9,1,2,3,1,1,NA,NA,NA,NA,NA,NA,NA
"4","Felipe dos Reis Pereira Vizeu do Carmo","Felipe Vizeu","https://s.glbimg.com/es/sde/f/2017/04/24/0ba0314196e998895d5b423d2a0f4fd0_FORMATO.png",94138,16,"FLA","ata","Nulo",2.4,3.4,0.48,0.18,5,"Flamengo",NA,4,2,NA,4,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Lucas da Silva Rocha","Lucas Rocha","https://s.glbimg.com/es/sde/f/2017/07/11/de8c5e7398d3dece81fa05f35abe0764_FORMATO.png",94119,16,"VAS","zag","Nulo",0,2,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Matheus Gutz","Matheus","https://s.glbimg.com/es/sde/f/2017/04/28/08e4242f18d2365a93ecf92b2ce9fd52_FORMATO.png",94102,16,"AVA","gol","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Andrés Ramiro Escobar Díaz","Manga Escobar","https://s.glbimg.com/es/sde/f/2017/04/24/1ce4d6d602b56cabd2d5b1522af42b71_FORMATO.png",71704,16,"VAS","ata","Nulo",0,4.75,0,2.46,7,"Vasco",NA,3,5,1,7,1,1,2,3,NA,NA,1,NA,NA,NA,NA,NA,NA
"8","Matheus Fernandes Siqueira","Matheus Fernandes","https://s.glbimg.com/es/sde/f/2017/04/18/f7747c09eac1f0aee06f02c37fa257b6_FORMATO.png",94067,16,"BOT","mei","Provável",0,5.16,0,3.24,11,"Botafogo",1,16,8,NA,15,25,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Devid de Santana Silva","Devid","https://s.glbimg.com/es/sde/f/2017/04/28/7f5898b6f55d8d2c22bc2f9fd72c1067_FORMATO.png",94105,16,"AVA","ata","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Lucas Ribamar Lopes dos Santos Bibiano","Ribamar","https://s.glbimg.com/es/sde/f/2017/07/20/6894ec593555b4c947a6ced0d1bf01c4_FORMATO.png",94068,16,"ATL","ata","Provável",-0.4,2.96,-1.04,-0.4,1,"Atlético-PR",NA,2,1,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","John Victor Maciel Furtado","John Victor","https://s.glbimg.com/es/sde/f/2017/05/02/0eab88c901790607c556e504aa31b200_FORMATO.png",94044,16,"SAN","gol","Nulo",0,1,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Lucas Luiz Scalon","Scalon","https://s.glbimg.com/es/sde/f/2017/04/25/1c61a24805cfe9ae71c648216cd5b9cd_FORMATO.png",94003,16,"CHA","zag","Nulo",0,2,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Elton Junior Melo Ataíde","Elton","https://s.glbimg.com/es/sde/f/2017/05/02/be1eeef6004ddca4490debdfc7a8f6ef_FORMATO.png",71719,16,"PON","mei","Provável",1.4,5.66,-0.73,1.75,12,"Ponte Preta",NA,18,13,2,25,17,1,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA
"14","Oswaldo José Henríquez Bocanegra","Oswaldo Henríquez","https://s.glbimg.com/es/sde/f/2016/05/01/49c33afe8104b8c052fd2c593fca02e5_FORMATO.png",81241,16,"SPO","zag","Nulo",0,5.48,0,6.18,4,"Sport",NA,8,3,NA,7,8,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA
"15","Gustavo Leonardo Cuellar Gallego","Cuéllar","https://s.glbimg.com/es/sde/f/2017/04/24/ec9b77bc929663a07ce6d4b21c78ed8e_FORMATO.png",71709,16,"FLA","mei","Provável",0,4.89,0,2.55,10,"Flamengo",2,12,3,NA,18,22,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Weverton Pereira da Silva","Weverton","https://s.glbimg.com/es/sde/f/2017/04/23/2773ed93eeec40a1be23186dae64fad2_FORMATO.png",71631,16,"ATL","gol","Provável",-4.3,2.42,-1.83,2.25,13,"Atlético-PR",1,NA,4,NA,12,1,NA,NA,NA,NA,3,NA,NA,18,19,NA,NA,NA
"17","Cléber Janderson Pereira Reis","Cléber","https://s.glbimg.com/es/sde/f/2017/05/02/b5c06e4d4ec940dea4ec97f888628b3b_FORMATO.png",72376,16,"SAN","zag","Nulo",0,6.49,0,4.5,1,"Santos",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"18","Uillian Correia Granemann","Uillian Correia","https://s.glbimg.com/es/sde/f/2017/04/01/f5509c6e7e2831171a293b2e8b83e1bc_FORMATO.png",72007,16,"VIT","mei","Provável",-0.2,4.74,-1.29,3.41,14,"Vitória",1,19,5,1,22,20,NA,1,7,NA,NA,3,NA,NA,NA,NA,NA,NA
"19","Paulo Roberto Valoura Júnior","Juninho","https://s.glbimg.com/es/sde/f/2017/02/21/1185bf0445861de05869b21f919a1d93_FORMATO.png",71937,16,"BAH","mei","Dúvida",8.3,12.2,-1.34,4.16,13,"Bahia",1,24,7,NA,45,18,2,11,10,1,NA,2,NA,NA,NA,NA,NA,NA
"20","Michel Ferreira dos Santos","Michel ","https://s.glbimg.com/es/sde/f/2017/04/23/555af733f4228e215781ed3d2cd99c56_FORMATO.png",71920,16,"GRE","mei","Suspenso",2.9,9.19,-0.35,5.02,13,"Grêmio",3,31,13,NA,34,35,NA,2,7,NA,NA,3,NA,NA,NA,NA,NA,NA
"21","Diego da Silva Rosa","Diego Rosa","https://s.glbimg.com/es/sde/f/2017/06/21/113421cfc95b13d42d7a61ddfd0b906c_FORMATO.png",71927,16,"ATL","mei","Provável",1,7,-0.32,1.56,8,"Atlético-GO",NA,7,5,1,5,4,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Bruno Medeiros Grassi","Bruno Grassi","https://s.glbimg.com/es/sde/f/2017/04/23/d503f996169e9aafe30487a9921bed97_FORMATO.png",71818,16,"GRE","gol","Nulo",0,4,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
