"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","FC","FD","FF","FS","G","I","PE","RB","CA","SG","FT","DD","GS","DP","PP","CV","GC"
"1","Diego Gomes dos Santos","Diego Gomes","https://s.glbimg.com/es/sde/f/2017/05/02/c6169204fbfca94a9affdd9de721a72c_FORMATO.png",94045,17,"SAN","mei","Nulo",0,1,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Anderson Vieira Martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2017/07/24/b1c36aceb7c5d5fb95b9079cf23fe5fe_FORMATO.png",52618,17,"VAS","zag","Nulo",0,11,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Luis Antônio Venker de Menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",37281,17,"CRU","tec","Provável",3.86,12.38,0.08,3.67,17,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Andrés Ramiro Escobar Díaz","Manga Escobar","https://s.glbimg.com/es/sde/f/2017/04/24/1ce4d6d602b56cabd2d5b1522af42b71_FORMATO.png",71704,17,"VAS","ata","Nulo",0.1,4.45,-0.3,2.17,8,"Vasco",1,3,2,3,7,1,1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Gilson Kleina","Gilson Kleina","https://s.glbimg.com/es/sde/f/2017/04/25/170c293b8b336044ef9d06f703796fcc_FORMATO.png",37306,17,"PON","tec","Provável",0,12.95,0,4.03,16,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2017/04/18/8397713ec780be3eaf28ae8d848c2736_FORMATO.png",36612,17,"PAL","lat","Nulo",0,7.54,0,1.78,9,"Palmeiras",1,15,NA,NA,4,NA,NA,11,4,1,3,NA,NA,NA,NA,NA,NA,NA
"7","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/04/24/b3a0848ae3a447c87cf7c807185b37a6_FORMATO.png",36540,17,"FLA","zag","Provável",5.9,6.68,0.39,4.25,7,"Flamengo",2,5,3,4,4,NA,NA,11,9,3,1,1,NA,NA,NA,NA,NA,NA
"8","John Victor Maciel Furtado","John Victor","https://s.glbimg.com/es/sde/f/2017/05/02/0eab88c901790607c556e504aa31b200_FORMATO.png",94044,17,"SAN","gol","Nulo",0,1,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Lucas Luiz Scalon","Scalon","https://s.glbimg.com/es/sde/f/2017/04/25/1c61a24805cfe9ae71c648216cd5b9cd_FORMATO.png",94003,17,"CHA","zag","Nulo",0,2,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Réver Humberto Alves Araújo","Réver","https://s.glbimg.com/es/sde/f/2017/04/24/854cf1c9afe220c9f2a2751a12f2e7dd_FORMATO.png",52253,17,"FLA","zag","Provável",10.2,11.81,1.6,4.35,14,"Flamengo",NA,6,3,2,12,2,1,18,15,1,4,NA,NA,NA,NA,NA,NA,NA
"11","Lucas Ribamar Lopes dos Santos Bibiano","Ribamar","https://s.glbimg.com/es/sde/f/2017/07/20/6894ec593555b4c947a6ced0d1bf01c4_FORMATO.png",94068,17,"ATL","ata","Provável",11.4,6.76,3.8,5.5,2,"Atlético-PR",NA,4,NA,3,5,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Matheus Fernandes Siqueira","Matheus Fernandes","https://s.glbimg.com/es/sde/f/2017/04/18/f7747c09eac1f0aee06f02c37fa257b6_FORMATO.png",94067,17,"BOT","mei","Provável",9.3,5.71,0.55,3.75,12,"Botafogo",NA,17,NA,5,9,NA,NA,18,31,1,NA,NA,NA,NA,NA,NA,NA,NA
"13","Matheus Gutz","Matheus","https://s.glbimg.com/es/sde/f/2017/04/28/08e4242f18d2365a93ecf92b2ce9fd52_FORMATO.png",94102,17,"AVA","gol","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Lucas Ferreira Amaral","Lucas Ferreira","https://s.glbimg.com/es/sde/f/2016/05/01/a38c7b2a46cf04e24085ad1f45ce78bc_FORMATO.png",94147,17,"SPO","gol","Nulo",0,1,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Devid de Santana Silva","Devid","https://s.glbimg.com/es/sde/f/2017/04/28/7f5898b6f55d8d2c22bc2f9fd72c1067_FORMATO.png",94105,17,"AVA","ata","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Weverton Pereira da Silva","Weverton","https://s.glbimg.com/es/sde/f/2017/04/23/2773ed93eeec40a1be23186dae64fad2_FORMATO.png",71631,17,"ATL","gol","Provável",10.7,5.04,2.62,2.85,14,"Atlético-PR",NA,NA,NA,NA,4,NA,NA,13,1,1,4,NA,20,19,NA,NA,NA,NA
"17","Guilherme Augusto Vieira dos Santos","Guilherme","https://s.glbimg.com/es/sde/f/2017/04/17/9b919498890d4bf28c289ff60c4e590e_FORMATO.png",94207,17,"BOT","ata","Nulo",8.3,6.42,0.82,3.05,13,"Botafogo",1,9,4,7,23,2,NA,25,4,NA,NA,1,NA,NA,NA,NA,NA,NA
"18","Felipe dos Reis Pereira Vizeu do Carmo","Felipe Vizeu","https://s.glbimg.com/es/sde/f/2017/04/24/0ba0314196e998895d5b423d2a0f4fd0_FORMATO.png",94138,17,"FLA","ata","Nulo",0,3.4,0,0.18,5,"Flamengo",NA,4,NA,2,2,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Thallyson Gabriel Lobo Seabra","Thallyson","https://s.glbimg.com/es/sde/f/2017/02/14/3e158bd1bb119b3c60c1c2d557560d42_FORMATO.png",94144,17,"SPO","mei","Nulo",0,0.79,0,-0.28,10,"Sport",NA,10,NA,NA,7,NA,1,12,4,2,NA,NA,NA,NA,NA,NA,NA,NA
"20","Guilherme Natan de Lima","Lima","https://s.glbimg.com/es/sde/f/2016/04/27/059a0e58f2adc09337048722ca4f5ae4_FORMATO.png",94288,17,"CHA","mei","Nulo",0,1,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Maycon de Andrade Barberan","Maycon","https://s.glbimg.com/es/sde/f/2017/04/28/66122f2239f4f742f47cf5008882313f_FORMATO.png",94154,17,"COR","mei","Provável",3,7.84,0.14,2.96,17,"Corinthians",1,11,5,8,6,1,NA,56,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2017/04/23/755b6b8cfd82322b66a137677617403d_FORMATO.png",37604,17,"ATL","zag","Provável",5,4.6,0.96,1.42,10,"Atlético-PR",NA,7,1,NA,8,NA,NA,23,8,2,2,NA,NA,NA,NA,NA,NA,NA
"23","Mateus Norton Gomes Chaves","Mateus Norton","https://s.glbimg.com/es/sde/f/2017/07/25/cb48a350eba3ed301233b7101cab6d8b_FORMATO.png",94336,17,"FLU","mei","Provável",0,1.3,0,0.12,5,"Fluminense",NA,3,NA,1,2,NA,NA,7,5,3,NA,NA,NA,NA,NA,NA,NA,NA
"24","Pedro Henrique Perotti","Perotti","https://s.glbimg.com/es/sde/f/2017/04/25/9a67368382ccea91470efb3e85403f0b_FORMATO.png",94286,17,"CHA","ata","Nulo",0,1.8,0,0.9,2,"Chapecoense",NA,2,NA,1,2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Leonardo Campos Duarte da Silva","Léo Duarte","https://s.glbimg.com/es/sde/f/2017/04/24/b7aa73dc8eb8be2ac3c08bcada8359a6_FORMATO.png",94214,17,"FLA","zag","Nulo",0,3.24,0,4.2,1,"Flamengo",NA,2,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"26","Edimar Ribeiro da Costa Júnior","Juninho","https://s.glbimg.com/es/sde/f/2016/05/01/3702c1c16aa8563dfc0d7e4f3399cadd_FORMATO.png",94445,17,"SPO","ata","Nulo",0.9,0.78,-0.01,-0.3,6,"Sport",NA,5,1,2,4,NA,2,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"27","Leonardo Peixoto Principe","Léo Principe","https://s.glbimg.com/es/sde/f/2017/04/23/e35ffb8313b5c8808ee460300af5bb39_FORMATO.png",94765,17,"COR","lat","Nulo",0,3.72,0,6.5,1,"Corinthians",NA,4,NA,NA,2,NA,NA,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"28","Gilson Gomes do Nascimento","Gilson","https://s.glbimg.com/es/sde/f/2017/04/17/41717887cc5c81bcd28ad1df6829c7e6_FORMATO.png",52674,17,"BOT","lat","Nulo",0,9.12,0,3.65,11,"Botafogo",1,7,NA,1,19,NA,1,19,10,3,4,1,NA,NA,NA,NA,NA,NA
"29","César de São José Morais","César","https://s.glbimg.com/es/sde/f/2017/04/25/6da76c24ea8925abba30757a28a54aae_FORMATO.png",94854,17,"ATL","lat","Nulo",0,1,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Raphael Cavalcante Veiga","Raphael Veiga","https://s.glbimg.com/es/sde/f/2017/04/18/7f93c8857d2480594a996b33e07528f7_FORMATO.png",94509,17,"PAL","mei","Provável",6.9,5.02,1.42,0.76,8,"Palmeiras",1,6,1,4,7,NA,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"31","Pedro Guilherme Abreu dos Santos","Pedro","https://s.glbimg.com/es/sde/f/2017/07/25/eb7be7be185d6f7421dbf30f71453757_FORMATO.png",94583,17,"FLU","ata","Nulo",0,4.38,0,2.12,6,"Fluminense",NA,7,2,2,8,1,1,6,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"32","Víctor Leandro Bagy","Victor","https://s.glbimg.com/es/sde/f/2017/04/03/444816970098790387faf6c2c5c0444f_FORMATO.png",52950,17,"ATL","gol","Provável",9,11.94,1.45,4.41,15,"Atlético-MG",NA,1,NA,NA,2,NA,NA,8,NA,3,3,NA,24,17,3,NA,NA,NA
"33","Ferdinando Pereira Leda","Ferdinando","https://s.glbimg.com/es/sde/f/2017/04/28/451b8463a985e60f7a6e4d877e47d26e_FORMATO.png",53731,17,"AVA","mei","Nulo",0,5,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Túlio Vinícius Fróes de Melo","Túlio de Melo","https://s.glbimg.com/es/sde/f/2017/04/25/19e52a7282097054fc255711621c8e29_FORMATO.png",54797,17,"CHA","ata","Provável",0.2,3.51,-0.26,0.96,10,"Chapecoense",NA,8,2,5,3,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Jonatan David Gomez Ospina","Jonatan Gomez","https://s.glbimg.com/es/sde/f/2017/06/27/500860f593a723ac171bd25de5474397_FORMATO.png",94857,17,"SAO","mei","Nulo",0,3.64,0,-0.64,5,"São Paulo",NA,11,1,2,10,NA,1,20,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"36","Elias Mendes Trindade","Elias","https://s.glbimg.com/es/sde/f/2017/04/03/9fbc7e32d0d9db7b948212b98c23212a_FORMATO.png",54395,17,"ATL","mei","Nulo",3,12.14,0.22,2.68,14,"Atlético-MG",NA,18,5,1,12,2,2,46,21,1,NA,NA,NA,NA,NA,NA,NA,NA
"37","Leonardo Felipe Santos da Silva","Léo","https://s.glbimg.com/es/sde/f/2017/04/28/8edfb4213f777f54e9a9014c5969eb07_FORMATO.png",94885,17,"AVA","lat","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","João Paulo da Silva","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/24/bd4f8a7faf06636fd48dc601b16ea0af_FORMATO.png",56102,17,"COR","mei","Nulo",0,7,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","João Victor da Vitória Fernandes","Capixaba","https://s.glbimg.com/es/sde/f/2016/07/07/6d9964a0f815acd56932767b61858c13_FORMATO.png",94894,17,"ATL","ata","Nulo",0,0.87,0,0.4,1,"Atlético-MG",NA,1,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Lucas Fernandes da Silva","Lucas Fernandes","https://s.glbimg.com/es/sde/f/2016/05/01/0a47d84040286532fb5d90cc746b49b3_FORMATO.png",94931,17,"SAO","mei","Contundido",0,4.97,0,2.42,6,"São Paulo",NA,3,2,3,4,1,NA,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"41","Cássio Luís Rissardo","Xuxa","https://s.glbimg.com/es/sde/f/2017/04/25/f61368b41b39832165af38d0ac96fda8_FORMATO.png",55594,17,"PON","mei","Nulo",0,2.25,0,0.8,3,"Ponte Preta",NA,NA,NA,NA,1,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Deijair dos Santos Nunes","Deijair ","https://s.glbimg.com/es/sde/f/2017/02/21/78e66c5df2b907d4d815509e312cf19f_FORMATO.png",94966,17,"BAH","gol","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
