"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FD","FF","FS","PE","RB","SG","DD","GS","G","I","A","PP","CV","FT","GC","DP"
"1","Filipe Rodrigues de Souza Santos","Filipinho","https://s.glbimg.com/es/sde/f/2017/04/03/0632627beb34d4add345d985b197b8d6_FORMATO.png",95651,20,"ATL","ata","Nulo",0,2,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Ebert Willian Amâncio","Betão","https://s.glbimg.com/es/sde/f/2017/04/28/892740eaee3f590710c5572d2e84bbd1_FORMATO.png",37646,20,"AVA","zag","Suspenso",4.1,7.28,-0.34,2.5,19,"Avaí",6,13,1,1,16,41,14,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png",37656,20,"CRU","gol","Provável",0,13.04,0,3.95,19,"Cruzeiro",NA,1,NA,NA,2,9,NA,8,23,16,NA,NA,NA,NA,NA,NA,NA,NA
"4","Nilmar Honorato da Silva","Nilmar","https://s.glbimg.com/es/sde/f/2017/07/28/a4a818526c2d0d556772bdd6a7049ca4_FORMATO.png",37653,20,"SAN","ata","Nulo",0,8,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Wagner Ferreira dos Santos","Wagner","https://s.glbimg.com/es/sde/f/2017/04/06/359066aa5d28530d44010771094091ab_FORMATO.png",37674,20,"VAS","mei","Provável",0,4.42,-0.2,0.94,9,"Vasco",NA,11,1,NA,9,16,4,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA
"6","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/23/2e9071da78a7b84be87644f435c375ea_FORMATO.png",37662,20,"ATL","lat","Contundido",0,7.78,-1.34,3.73,14,"Atlético-PR",3,9,NA,2,14,36,16,5,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"7","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,20,"PAL","zag","Provável",2.7,8.86,0.21,3.32,10,"Palmeiras",1,10,1,4,14,5,7,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"8","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2017/05/25/b470b28b3b68d95eff43163148c236f8_FORMATO.png",37673,20,"COR","ata","Provável",0.2,2.76,-1.87,0.13,13,"Coritiba",5,20,3,1,18,18,7,NA,NA,NA,1,4,NA,1,NA,NA,NA,NA
"9","Rodrigo Baldasso da Costa","Rodrigo","https://s.glbimg.com/es/sde/f/2017/06/13/a5cb57a41ef2b2308c98b76ba24b430a_FORMATO.png",37644,20,"PON","zag","Suspenso",7.2,9.94,0.29,4.1,14,"Ponte Preta",3,7,6,7,22,26,14,7,NA,NA,NA,2,NA,NA,1,NA,NA,NA
"10","Marcelo Mendonça de Mattos Terra","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,20,"VAS","mei","Contundido",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
