"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FS","G","I","PE","RB","A","FD","FF","FT","SG","DD","GS","CV","PP","DP","GC"
"1","Thallyson Gabriel Lobo Seabra","Thallyson","https://s.glbimg.com/es/sde/f/2017/02/14/3e158bd1bb119b3c60c1c2d557560d42_FORMATO.png",94144,22,"SPO","mei","Nulo",0,0.79,0,0.39,12,"Sport",3,12,7,1,1,15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/08/16/8083bd36b95c924dc4cf0341e39d22e4_FORMATO.jpeg",36540,22,"FLA","zag","Nulo",6.4,7.02,0.37,4.47,9,"Flamengo",3,6,5,NA,NA,12,12,2,3,5,1,2,NA,NA,NA,NA,NA,NA
"3","Lucas Ribamar Lopes dos Santos Bibiano","Ribamar","https://s.glbimg.com/es/sde/f/2017/07/20/6894ec593555b4c947a6ced0d1bf01c4_FORMATO.png",94068,22,"ATL","ata","Provável",2.7,5.86,0.37,3.22,5,"Atlético-PR",NA,6,11,1,3,6,3,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"4","Felipe dos Reis Pereira Vizeu do Carmo","Felipe Vizeu","https://s.glbimg.com/es/sde/f/2017/08/16/140c5ea3e34ec32fead4a646cbe63642_FORMATO.jpeg",94138,22,"FLA","ata","Contundido",0,3.69,0,2.5,8,"Flamengo",NA,9,8,1,NA,4,3,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA
"5","Matheus Fernandes Siqueira","Matheus Fernandes","https://s.glbimg.com/es/sde/f/2017/04/18/f7747c09eac1f0aee06f02c37fa257b6_FORMATO.png",94067,22,"BOT","mei","Provável",0,5.47,0,3.67,14,"Botafogo",2,20,12,NA,NA,24,36,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA
"6","Lucas da Silva Rocha","Lucas Rocha","https://s.glbimg.com/es/sde/f/2017/07/11/de8c5e7398d3dece81fa05f35abe0764_FORMATO.png",94119,22,"VAS","zag","Nulo",0,2.99,0,3.95,2,"Vasco",NA,1,3,NA,NA,5,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"7","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2017/04/18/8397713ec780be3eaf28ae8d848c2736_FORMATO.png",36612,22,"PAL","lat","Nulo",0,6.88,0,1.95,12,"Palmeiras",1,15,6,NA,NA,12,5,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"8","Agenor Detofol","Agenor","https://s.glbimg.com/es/sde/f/2017/08/30/4df3a999db97ae40b152429edc607db4_FORMATO.png",71724,22,"SPO","gol","Nulo",0,4.57,0,6.05,4,"Sport",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2,8,4,NA,NA,NA,NA
"9","Diego Gomes dos Santos","Diego Gomes","https://s.glbimg.com/es/sde/f/2017/05/02/c6169204fbfca94a9affdd9de721a72c_FORMATO.png",94045,22,"SAN","mei","Nulo",0,1,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Gilson Kleina","Gilson Kleina","https://s.glbimg.com/es/sde/f/2017/04/25/170c293b8b336044ef9d06f703796fcc_FORMATO.png",37306,22,"PON","tec","Provável",2.28,12.23,0.01,3.91,21,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Luis Antônio Venker de Menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",37281,22,"CRU","tec","Provável",3.65,12.71,-0.3,3.83,22,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Marcelo Mendonça de Mattos Terra","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,22,"VAS","mei","Contundido",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2017/09/04/7684f4365ab5d1b7f034caf1792fe6f3_FORMATO.png",37608,22,"GRE","mei","Nulo",0,4,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2017/04/23/755b6b8cfd82322b66a137677617403d_FORMATO.png",37604,22,"ATL","zag","Provável",1.5,4.33,-0.61,1.84,13,"Atlético-PR",4,10,8,NA,NA,28,12,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA
"15","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2017/04/18/fa3a79559d24615c5cf4229992d82324_FORMATO.png",37607,22,"PAL","mei","Nulo",9.4,6.6,0.62,2.27,13,"Palmeiras",4,9,11,NA,3,39,17,2,3,11,NA,NA,NA,NA,NA,NA,NA,NA
