"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","CV","FC","FD","FF","FS","FT","G","I","PE","RB","PP","SG","DD","GS","DP","GC"
"1","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2017/06/07/4171a633f759e859ac04b9293992adf3_FORMATO.png",37705,23,"AVA","mei","Provável",5.8,5.43,0.52,1.64,17,"Avaí",2,5,1,26,4,9,25,1,1,3,53,17,NA,NA,NA,NA,NA,NA
"2","Luis Antônio Venker de Menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",37281,23,"CRU","tec","Provável",4.26,12.87,0.16,3.85,23,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2017/02/18/6e1bc225f8c1e82f9bea52b09540dd3a_FORMATO.png",37688,23,"SAO","mei","Nulo",0,4.28,0,-0.81,10,"São Paulo",NA,2,NA,18,NA,3,7,NA,NA,2,16,3,NA,NA,NA,NA,NA,NA
"4","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2017/04/03/0262cdf9cadf70eee005c277def421cb_FORMATO.png",37655,23,"ATL","ata","Nulo",0,4.92,0,1.54,18,"Atlético-MG",NA,1,NA,36,8,9,22,1,4,17,26,4,1,NA,NA,NA,NA,NA
"5","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/08/16/8083bd36b95c924dc4cf0341e39d22e4_FORMATO.jpeg",36540,23,"FLA","zag","Nulo",0,7.02,0,4.47,9,"Flamengo",2,3,NA,6,3,5,5,1,NA,NA,12,12,NA,2,NA,NA,NA,NA
"6","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2017/05/25/b470b28b3b68d95eff43163148c236f8_FORMATO.png",37673,23,"COR","ata","Dúvida",0,1.79,0,-0.19,15,"Coritiba",NA,6,NA,24,3,2,19,NA,1,4,24,7,1,NA,NA,NA,NA,NA
"7","Ebert Willian Amâncio","Betão","https://s.glbimg.com/es/sde/f/2017/04/28/892740eaee3f590710c5572d2e84bbd1_FORMATO.png",37646,23,"AVA","zag","Provável",7.4,8.03,0.71,2.81,21,"Avaí",NA,6,NA,15,1,1,20,NA,NA,NA,45,15,NA,11,NA,NA,NA,NA
"8","Wagner Ferreira dos Santos","Wagner","https://s.glbimg.com/es/sde/f/2017/04/06/359066aa5d28530d44010771094091ab_FORMATO.png",37674,23,"VAS","mei","Provável",5.3,5.63,1.06,1.95,12,"Vasco",NA,NA,NA,12,1,1,11,1,1,3,27,12,NA,NA,NA,NA,NA,NA
"9","Rodrigo Baldasso da Costa","Rodrigo","https://s.glbimg.com/es/sde/f/2017/06/13/a5cb57a41ef2b2308c98b76ba24b430a_FORMATO.png",37644,23,"PON","zag","Nulo",0,9.94,0,4.1,14,"Ponte Preta",NA,3,1,7,6,7,22,NA,NA,2,26,14,NA,7,NA,NA,NA,NA
"10","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png",37656,23,"CRU","gol","Provável",13,14.52,2.68,4.11,22,"Cruzeiro",NA,NA,NA,1,NA,NA,2,NA,NA,NA,11,NA,NA,9,28,18,NA,NA
