"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","CV","FC","FD","FF","FS","I","PE","RB","SG","FT","A","G","PP","DD","GS","GC","DP"
"1","Marcelo Mendonça de Mattos Terra","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,24,"VAS","mei","Contundido",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Rodrigo Baldasso da Costa","Rodrigo","https://s.glbimg.com/es/sde/f/2017/06/13/a5cb57a41ef2b2308c98b76ba24b430a_FORMATO.png",37644,24,"PON","zag","Nulo",0,9.94,0,4.1,14,"Ponte Preta",3,1,7,6,7,22,2,26,14,7,NA,NA,NA,NA,NA,NA,NA,NA
"3","Guilherme Natan de Lima","Lima","https://s.glbimg.com/es/sde/f/2016/04/27/059a0e58f2adc09337048722ca4f5ae4_FORMATO.png",94288,24,"CHA","mei","Nulo",0,1,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Rafael Marques Pinto","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/04/24/b057662177ede29cb7aec5d2426bea3b_FORMATO.png",37623,24,"VAS","zag","Nulo",0,2.3,0,1.08,12,"Vasco",3,NA,12,1,1,6,2,31,13,1,1,NA,NA,NA,NA,NA,NA,NA
"5","Luis Antônio Venker de Menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",37281,24,"CRU","tec","Provável",4.4,12.92,0.05,3.87,24,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2017/04/18/fa3a79559d24615c5cf4229992d82324_FORMATO.png",37607,24,"PAL","mei","Contundido",0,6.6,0,2.27,13,"Palmeiras",4,NA,9,3,11,11,3,39,17,NA,NA,2,NA,NA,NA,NA,NA,NA
"7","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2017/04/23/755b6b8cfd82322b66a137677617403d_FORMATO.png",37604,24,"ATL","zag","Provável",0,4.85,0,2.01,14,"Atlético-PR",4,NA,12,2,NA,10,NA,29,12,4,1,NA,NA,NA,NA,NA,NA,NA
"8","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2017/09/16/9b9e8bec626fb7edbd17844fd9909fd4_FORMATO.png",37608,24,"GRE","mei","Provável",0,4,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2017/04/18/8397713ec780be3eaf28ae8d848c2736_FORMATO.png",36612,24,"PAL","lat","Nulo",0,6.88,0,1.95,12,"Palmeiras",1,NA,15,NA,NA,6,NA,12,5,3,NA,2,NA,NA,NA,NA,NA,NA
"10","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/08/16/8083bd36b95c924dc4cf0341e39d22e4_FORMATO.jpeg",36540,24,"FLA","zag","Nulo",0,7.02,0,4.47,9,"Flamengo",3,NA,6,3,5,5,NA,12,12,2,1,2,NA,NA,NA,NA,NA,NA
