"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","FT","G","PE","RB","I","SG","CV","DD","GS","PP","DP","GC"
"1","Guilherme Augusto Vieira dos Santos","Guilherme","https://s.glbimg.com/es/sde/f/2017/04/17/9b919498890d4bf28c289ff60c4e590e_FORMATO.png",94207,29,"BOT","ata","Dúvida",3.1,6.64,0.45,3.59,23,"Botafogo",1,1,16,8,11,39,1,4,52,19,NA,NA,NA,NA,NA,NA,NA,NA
"2","Edimar Ribeiro da Costa Júnior","Juninho","https://s.glbimg.com/es/sde/f/2017/08/30/645c1110c278efad455b4d7220e4bdbc_FORMATO.png",94445,29,"SPO","ata","Nulo",11.1,2.61,1.43,0.81,12,"Sport",1,1,12,3,8,5,NA,NA,18,5,3,NA,NA,NA,NA,NA,NA,NA
"3","Leonardo Campos Duarte da Silva","Léo Duarte","https://s.glbimg.com/es/sde/f/2017/08/22/a3d5b1c1beaed6275d0c2a3e0b2748ed_FORMATO.jpeg",94214,29,"FLA","zag","Nulo",0,3.24,0,4.2,1,"Flamengo",NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"4","Pedro Henrique Perotti","Perotti","https://s.glbimg.com/es/sde/f/2017/04/25/9a67368382ccea91470efb3e85403f0b_FORMATO.png",94286,29,"CHA","ata","Nulo",0,1.8,0,0.9,2,"Chapecoense",NA,NA,2,NA,1,2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"5","Maycon de Andrade Barberan","Maycon","https://s.glbimg.com/es/sde/f/2017/04/28/66122f2239f4f742f47cf5008882313f_FORMATO.png",94154,29,"COR","mei","Provável",2.6,8.17,-0.15,2.88,28,"Corinthians",3,NA,18,7,16,13,NA,1,87,40,NA,NA,NA,NA,NA,NA,NA,NA
"6","Mateus Norton Gomes Chaves","Mateus Norton","https://s.glbimg.com/es/sde/f/2017/07/25/cb48a350eba3ed301233b7101cab6d8b_FORMATO.png",94336,29,"FLU","mei","Dúvida",3.4,1.33,0.54,0.46,10,"Fluminense",NA,3,8,NA,1,4,NA,NA,17,10,NA,NA,NA,NA,NA,NA,NA,NA
"7","Thallyson Gabriel Lobo Seabra","Thallyson","https://s.glbimg.com/es/sde/f/2017/02/14/3e158bd1bb119b3c60c1c2d557560d42_FORMATO.png",94144,29,"SPO","mei","Nulo",0,0.83,0,0.48,15,"Sport",NA,3,15,NA,1,8,NA,1,17,8,1,NA,NA,NA,NA,NA,NA,NA
"8","Diego da Silva Rosa","Diego Rosa","https://s.glbimg.com/es/sde/f/2017/06/21/113421cfc95b13d42d7a61ddfd0b906c_FORMATO.png",71927,29,"ATL","mei","Nulo",0.7,7.11,-0.17,2.36,15,"Atlético-GO",2,1,10,7,3,10,NA,1,12,9,3,NA,NA,NA,NA,NA,NA,NA
"9","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/08/16/8083bd36b95c924dc4cf0341e39d22e4_FORMATO.jpeg",36540,29,"FLA","zag","Provável",-1.3,5.72,-0.81,3.79,11,"Flamengo",2,4,9,3,5,6,1,NA,14,15,NA,2,NA,NA,NA,NA,NA,NA
"10","Lucas Ferreira Amaral","Lucas Ferreira","https://s.glbimg.com/es/sde/f/2016/05/01/a38c7b2a46cf04e24085ad1f45ce78bc_FORMATO.png",94147,29,"SPO","gol","Nulo",0,1,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Felipe dos Reis Pereira Vizeu do Carmo","Felipe Vizeu","https://s.glbimg.com/es/sde/f/2017/08/16/140c5ea3e34ec32fead4a646cbe63642_FORMATO.jpeg",94138,29,"FLA","ata","Nulo",0,3.5,0,2.11,10,"Flamengo",NA,NA,9,4,4,8,1,1,6,3,NA,NA,NA,NA,NA,NA,NA,NA
