"X","atletas.atleta_id","atletas.nome","atletas.apelido","atletas.foto","atletas.rodada_id","atletas.clube_id","atletas.clube.id.full.name","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","athletes.atletas.scout","PE","SG","FC","FS","I","RB","FD","A","G","FF","DD","CA","GS","FT","CV","PP","DP"
18,36540,"Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/04/24/b3a0848ae3a447c87cf7c807185b37a6_FORMATO.png",3,"FLA","Flamengo","zag","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,36612,"José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2017/04/18/8397713ec780be3eaf28ae8d848c2736_FORMATO.png",3,"PAL","Palmeiras","lat","Nulo",0,9.27,0,5.1,1,NA,2,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,37245,"Augusto Sérgio Ferreira","Guto Ferreira","https://s.glbimg.com/es/sde/f/2017/02/21/f52648766ac7a16d0625f73fbb3daa12_FORMATO.png",3,"BAH",NA,"tec","Provável",0.94,9.83,-0.58,4.3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,37281,"Luis Antônio Venker de Menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",3,"CRU","Cruzeiro","tec","Provável",4.95,12.55,0.48,4.59,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,37306,"Gilson Kleina","Gilson Kleina","https://s.glbimg.com/es/sde/f/2017/04/25/170c293b8b336044ef9d06f703796fcc_FORMATO.png",3,"PON","Ponte Preta","tec","Provável",4.11,11.73,0.51,5.58,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,37333,"Marcelo Ribeiro Cabo","Marcelo Cabo","https://s.glbimg.com/es/sde/f/2017/04/28/b7b4b2976accc2021bc99f72565188c9_FORMATO.png",3,"ATL",NA,"tec","Provável",2.24,4.04,0.46,1.95,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,37604,"Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2017/04/23/755b6b8cfd82322b66a137677617403d_FORMATO.png",3,"ATL","Atlético-PR","zag","Provável",4.2,5.29,0.95,2.05,2,NA,5,NA,2,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,37607,"Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2017/04/18/fa3a79559d24615c5cf4229992d82324_FORMATO.png",3,"PAL","Palmeiras","mei","Provável",-1.1,6.15,-1.36,1.35,2,NA,12,NA,NA,1,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
22,37608,"Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2017/04/19/9884b370f7327ae579c283e865aabf79_FORMATO.png",3,"COR","Corinthians","mei","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,37623,"Rafael Marques Pinto","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/04/24/b057662177ede29cb7aec5d2426bea3b_FORMATO.png",3,"VAS","Vasco","zag","Contundido",0,2.12,0,-1.2,2,NA,7,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,37627,"Rodrigo Oliveira de Bittencourt","Diguinho","https://s.glbimg.com/es/sde/f/2017/04/23/567acbb6c452d975229cf001ae067216_FORMATO.png",3,"VAS",NA,"mei","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,37644,"Rodrigo Baldasso da Costa","Rodrigo","https://s.glbimg.com/es/sde/f/2017/05/09/fadbff28c7a05ef717d4183f017e7ff7_FORMATO.png",3,"PON","Ponte Preta","zag","Nulo",0,7.45,-2.55,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,37645,"Marcelo Mendonça de Mattos Terra","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",3,"VAS","Vasco","mei","Contundido",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,37646,"Ebert Willian Amâncio","Betão","https://s.glbimg.com/es/sde/f/2017/04/28/892740eaee3f590710c5572d2e84bbd1_FORMATO.png",3,"AVA","Avaí","zag","Provável",1,5.66,-0.1,1.53,3,NA,11,1,NA,3,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
19,37652,"Carlos Alberto Gomes de Jesus","Carlos Alberto","https://s.glbimg.com/es/sde/f/2017/04/23/e6ee0f29664116ad56a6334200f1a86b_FORMATO.png",3,"ATL","Atlético-PR","mei","Nulo",0,6.81,0,2.2,1,NA,4,NA,1,3,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
30,37655,"Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2017/04/03/0262cdf9cadf70eee005c277def421cb_FORMATO.png",3,"ATL","Atlético-MG","ata","Nulo",8.2,6.06,2.34,2.7,3,NA,1,NA,3,NA,1,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA
25,37656,"Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png",3,"CRU","Cruzeiro","gol","Provável",8,13.1,1.57,5.4,3,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA
