"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","FT","PE","RB","SG","G","CV","I","PP","DD","GS","DP","GC"
"1","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/08/16/8083bd36b95c924dc4cf0341e39d22e4_FORMATO.jpeg",36540,30,"FLA","zag","Nulo",0,5.72,0,3.79,11,"Flamengo",2,4,9,3,5,6,1,14,15,2,NA,NA,NA,NA,NA,NA,NA,NA
"2","Luis Antônio Venker de Menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",37281,30,"CRU","tec","Provável",3.06,12.65,0.36,3.74,29,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Guilherme Augusto Vieira dos Santos","Guilherme","https://s.glbimg.com/es/sde/f/2017/04/17/9b919498890d4bf28c289ff60c4e590e_FORMATO.png",94207,30,"BOT","ata","Nulo",1,6.31,-0.33,3.48,24,"Botafogo",1,1,17,9,11,40,1,52,19,NA,4,NA,NA,NA,NA,NA,NA,NA
"4","Anderson Luís de Abreu Oliveira","Anderson","https://s.glbimg.com/es/sde/f/2017/04/24/0dc186897635dc55867be6cf89a3666a_FORMATO.png",38852,30,"COR","mei","Nulo",0,3.25,0,0.06,11,"Coritiba",NA,2,10,3,1,12,NA,27,8,NA,NA,1,1,NA,NA,NA,NA,NA
"5","Lucas Ferreira Amaral","Lucas Ferreira","https://s.glbimg.com/es/sde/f/2016/05/01/a38c7b2a46cf04e24085ad1f45ce78bc_FORMATO.png",94147,30,"SPO","gol","Nulo",0,1,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Renato Dirnei Florêncio","Renato","https://s.glbimg.com/es/sde/f/2017/05/02/ce9c1e5d21a2efec50dbdc2870d5a8c9_FORMATO.png",38908,30,"SAN","mei","Provável",1,5.91,-0.36,1.58,15,"Santos",NA,NA,10,2,1,15,NA,29,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Felipe dos Reis Pereira Vizeu do Carmo","Felipe Vizeu","https://s.glbimg.com/es/sde/f/2017/08/16/140c5ea3e34ec32fead4a646cbe63642_FORMATO.jpeg",94138,30,"FLA","ata","Nulo",0,3.5,0,2.11,10,"Flamengo",NA,NA,9,4,4,8,1,6,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"8","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2017/04/18/8397713ec780be3eaf28ae8d848c2736_FORMATO.png",36612,30,"PAL","lat","Nulo",0,6.62,0,1.79,13,"Palmeiras",2,1,15,NA,NA,7,NA,14,5,3,NA,NA,NA,NA,NA,NA,NA,NA
"9","Gilson Kleina","Gilson Kleina","https://s.glbimg.com/es/sde/f/2017/10/20/694aae00a3286c835cf98e36d3851bc3_FORMATO.png",37306,30,"CHA","tec","Provável",5.85,12.44,0.4,3.85,24,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Maycon de Andrade Barberan","Maycon","https://s.glbimg.com/es/sde/f/2017/04/28/66122f2239f4f742f47cf5008882313f_FORMATO.png",94154,30,"COR","mei","Provável",-0.4,7.66,-0.51,2.77,29,"Corinthians",3,NA,18,7,16,13,NA,94,41,NA,1,NA,NA,NA,NA,NA,NA,NA
"11","Leonardo Campos Duarte da Silva","Léo Duarte","https://s.glbimg.com/es/sde/f/2017/08/22/a3d5b1c1beaed6275d0c2a3e0b2748ed_FORMATO.jpeg",94214,30,"FLA","zag","Dúvida",0,3.24,0,4.2,1,"Flamengo",NA,NA,2,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"12","Pedro Guilherme Abreu dos Santos","Pedro","https://s.glbimg.com/es/sde/f/2017/07/25/eb7be7be185d6f7421dbf30f71453757_FORMATO.png",94583,30,"FLU","ata","Nulo",6.4,4.93,0.99,2.22,9,"Fluminense",NA,1,13,2,2,10,NA,9,9,NA,1,NA,1,NA,NA,NA,NA,NA
"13","Oswaldo de Oliveira","Oswaldo de Oliveira","https://s.glbimg.com/es/sde/f/2017/09/26/43d72dfbd2cff9b2ca73b83cd28119e5_FORMATO.png",36940,30,"ATL","tec","Provável",6.47,11.18,0.96,4.71,5,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
