"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","PE","RB","SG","I","G","FT","GC","CV","DD","GS","PP","DP"
"1","Lucas Ferreira Amaral","Lucas Ferreira","https://s.glbimg.com/es/sde/f/2016/05/01/a38c7b2a46cf04e24085ad1f45ce78bc_FORMATO.png",94147,31,"SPO","gol","Nulo",0,1,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Raphael Cavalcante Veiga","Raphael Veiga","https://s.glbimg.com/es/sde/f/2017/04/18/7f93c8857d2480594a996b33e07528f7_FORMATO.png",94509,31,"PAL","mei","Nulo",0,3.65,0,0.42,12,"Palmeiras",1,3,8,1,6,10,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","César de São José Morais","César","https://s.glbimg.com/es/sde/f/2017/04/25/6da76c24ea8925abba30757a28a54aae_FORMATO.png",94854,31,"ATL","lat","Nulo",0,1,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Leonardo Peixoto Principe","Léo Principe","https://s.glbimg.com/es/sde/f/2017/04/23/e35ffb8313b5c8808ee460300af5bb39_FORMATO.png",94765,31,"COR","lat","Dúvida",0,2.55,0,2.33,3,"Corinthians",NA,NA,5,NA,NA,3,7,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Pedro Henrique Perotti","Perotti","https://s.glbimg.com/es/sde/f/2017/04/25/9a67368382ccea91470efb3e85403f0b_FORMATO.png",94286,31,"CHA","ata","Nulo",0,1.8,0,0.9,2,"Chapecoense",NA,NA,2,NA,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Mateus Norton Gomes Chaves","Mateus Norton","https://s.glbimg.com/es/sde/f/2017/07/25/cb48a350eba3ed301233b7101cab6d8b_FORMATO.png",94336,31,"FLU","mei","Nulo",0,1.33,0,0.46,10,"Fluminense",NA,3,8,NA,1,4,17,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Edimar Ribeiro da Costa Júnior","Juninho","https://s.glbimg.com/es/sde/f/2017/08/30/645c1110c278efad455b4d7220e4bdbc_FORMATO.png",94445,31,"SPO","ata","Nulo",0,0.9,0,0.75,13,"Sport",1,1,12,3,8,5,18,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"8","Pedro Guilherme Abreu dos Santos","Pedro","https://s.glbimg.com/es/sde/f/2017/07/25/eb7be7be185d6f7421dbf30f71453757_FORMATO.png",94583,31,"FLU","ata","Nulo",0,4.93,0,2.22,9,"Fluminense",NA,1,13,2,2,10,9,9,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"9","Maycon de Andrade Barberan","Maycon","https://s.glbimg.com/es/sde/f/2017/04/28/66122f2239f4f742f47cf5008882313f_FORMATO.png",94154,31,"COR","mei","Nulo",1.8,7.92,0.26,2.74,30,"Corinthians",3,NA,19,7,16,16,97,42,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"10","Thallyson Gabriel Lobo Seabra","Thallyson","https://s.glbimg.com/es/sde/f/2017/02/14/3e158bd1bb119b3c60c1c2d557560d42_FORMATO.png",94144,31,"SPO","mei","Nulo",0,0.83,0,0.48,15,"Sport",NA,3,15,NA,1,8,17,8,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"11","Leonardo Campos Duarte da Silva","Léo Duarte","https://s.glbimg.com/es/sde/f/2017/08/22/a3d5b1c1beaed6275d0c2a3e0b2748ed_FORMATO.jpeg",94214,31,"FLA","zag","Nulo",0,3.24,0,4.2,1,"Flamengo",NA,NA,2,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Lucas Emanoel Leite Romão","Lucão","https://s.glbimg.com/es/sde/f/2017/04/22/913ef9074a98f2725e2f2cd12d43f7db_FORMATO.png",94962,31,"CRU","gol","Nulo",0,1,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","João Victor da Vitória Fernandes","Capixaba","https://s.glbimg.com/es/sde/f/2016/07/07/6d9964a0f815acd56932767b61858c13_FORMATO.png",94894,31,"ATL","ata","Nulo",0,0.87,0,0.4,1,"Atlético-MG",NA,NA,1,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Luís Fernando Santos da Conceição","Luís Fernando","https://s.glbimg.com/es/sde/f/2017/02/21/f8d269154cfbc785e5f87f026e341b3a_FORMATO.png",94971,31,"BAH","mei","Nulo",0,3,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Thalis Henrique Cantanhede","Thalis ","https://s.glbimg.com/es/sde/f/2017/04/03/a4b96c74f796865cee82e21548874cc4_FORMATO.png",95022,31,"ATL","mei","Nulo",0,0.81,0,0.2,1,"Atlético-MG",NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Luis Guilherme Castro de Melo","Luis Guilherme","https://s.glbimg.com/es/sde/f/2017/04/25/f29f6e2b42f604bc517f157512d669f6_FORMATO.png",95023,31,"ATL","ata","Nulo",0,2,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Kaynan Ribeiro Cruz","Kaynan","https://s.glbimg.com/es/sde/f/2017/02/21/13f8834fcead83b104fa6b9b86d35473_FORMATO.png",94978,31,"BAH","ata","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Domilson Cordeiro dos Santos","Dodô","https://s.glbimg.com/es/sde/f/2017/04/24/65670cbd709a8dd38cea2f806b28576c_FORMATO.png",94985,31,"COR","lat","Nulo",0,7.65,0,2.4,14,"Coritiba",NA,4,22,2,3,10,57,21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Guilherme Augusto Vieira dos Santos","Guilherme","https://s.glbimg.com/es/sde/f/2017/04/17/9b919498890d4bf28c289ff60c4e590e_FORMATO.png",94207,31,"BOT","ata","Nulo",2,6.42,0.11,3.42,25,"Botafogo",1,1,17,10,11,42,52,19,NA,NA,4,1,NA,NA,NA,NA,NA,NA
"20","Deijair dos Santos Nunes","Deijair ","https://s.glbimg.com/es/sde/f/2017/02/21/78e66c5df2b907d4d815509e312cf19f_FORMATO.png",94966,31,"BAH","gol","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Lucas Fernandes da Silva","Lucas Fernandes","https://s.glbimg.com/es/sde/f/2016/05/01/0a47d84040286532fb5d90cc746b49b3_FORMATO.png",94931,31,"SAO","mei","Nulo",0,3.7,0,1.91,15,"São Paulo",NA,2,8,5,7,13,21,11,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"22","Jonatan David Gomez Ospina","Jonatan Gomez","https://s.glbimg.com/es/sde/f/2017/06/27/500860f593a723ac171bd25de5474397_FORMATO.png",94857,31,"SAO","mei","Nulo",0,3.44,0.06,0.16,12,"São Paulo",NA,2,22,2,5,15,30,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"23","Lucas Tolentino Coelho de Lima","Lucas Paquetá","https://s.glbimg.com/es/sde/f/2017/08/22/b377d3036c1d03d40bafc65a9773ddc4_FORMATO.jpeg",94930,31,"FLA","mei","Nulo",3,2.88,0.06,2.61,11,"Flamengo",1,1,13,2,16,15,14,8,NA,3,NA,1,NA,NA,NA,NA,NA,NA
"24","Luis Antônio da Rocha Júnior","Juninho Capixaba","https://s.glbimg.com/es/sde/f/2017/07/28/3c67fd5bc97b298b018e4be018b27485_FORMATO.png",94968,31,"BAH","lat","Provável",0,2.6,0,3.25,10,"Bahia",NA,3,14,NA,2,12,25,18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Marco Antônio Rosa Furtado Júnior","Marco Antônio","https://s.glbimg.com/es/sde/f/2017/02/21/a2be72d3733854b4e00000008373cbbd_FORMATO.png",94975,31,"BAH","mei","Nulo",0,3,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/08/16/8083bd36b95c924dc4cf0341e39d22e4_FORMATO.jpeg",36540,31,"FLA","zag","Nulo",10,7.56,1.84,4.31,12,"Flamengo",2,5,10,3,6,6,14,19,3,NA,NA,1,NA,NA,NA,NA,NA,NA
"27","Victor Luiz Prestes Filho","Vitinho","https://s.glbimg.com/es/sde/f/2016/07/13/fec7b396e3ea32757d4728bef42864b5_FORMATO.png",95260,31,"CRU","lat","Nulo",0,1,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
