"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FD","FS","FT","PE","RB","SG","DD","GS","A","FF","I","G","PP","GC","CV","DP"
"1","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2017/04/23/755b6b8cfd82322b66a137677617403d_FORMATO.png",37604,32,"ATL","zag","Provável",1.1,4.2,-0.1,1.88,16,"Atlético-PR",4,14,2,12,1,34,14,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Caique da Silva Maria","Caíque","https://s.glbimg.com/es/sde/f/2017/06/16/4d8ec695b7a6792f35e8eb992f9c59ad_FORMATO.png",95831,32,"SAO","lat","Nulo",0,1,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png",37656,32,"CRU","gol","Provável",10.7,14.05,0.67,4.13,28,"Cruzeiro",NA,1,NA,2,NA,13,NA,11,38,25,NA,NA,NA,NA,NA,NA,NA,NA
"4","Fabián Ariel Noguera","Fabián Noguera","https://s.glbimg.com/es/sde/f/2017/05/02/90ea91f7ba7a3941f90047a0aca02c82_FORMATO.png",95837,32,"SAN","zag","Nulo",0,4.08,0,4.87,6,"Santos",NA,4,NA,2,NA,7,6,3,NA,NA,1,3,NA,NA,NA,NA,NA,NA
"5","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/08/16/8083bd36b95c924dc4cf0341e39d22e4_FORMATO.jpeg",36540,32,"FLA","zag","Nulo",0,7.56,0,4.31,12,"Flamengo",5,10,3,6,1,14,19,3,NA,NA,2,6,NA,NA,NA,NA,NA,NA
"6","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,32,"PAL","zag","Provável",1.8,8.9,0.18,3.16,21,"Palmeiras",5,24,3,27,NA,11,20,7,NA,NA,NA,10,2,NA,NA,NA,NA,NA
"7","Nilmar Honorato da Silva","Nilmar","https://s.glbimg.com/es/sde/f/2017/07/28/a4a818526c2d0d556772bdd6a7049ca4_FORMATO.png",37653,32,"SAN","ata","Contundido",0,6.08,0,-0.55,2,"Santos",NA,2,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Jadson Rodrigues da Silva","Jadson","https://s.glbimg.com/es/sde/f/2017/04/23/74a0bb24699753dd991412e8c67a1623_FORMATO.png",38315,32,"COR","mei","Suspenso",-2.8,7.59,-0.87,1.06,26,"Corinthians",3,19,5,15,NA,119,9,NA,NA,NA,2,15,3,4,NA,NA,NA,NA
"9","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2017/08/16/497b309e783e3279452314847976a12a_FORMATO.jpeg",38311,32,"FLA","mei","Nulo",3.4,8.7,0.49,2.83,26,"Flamengo",5,33,1,34,NA,49,51,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA
"10","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2017/04/03/0262cdf9cadf70eee005c277def421cb_FORMATO.png",37655,32,"ATL","ata","Nulo",0,4.59,-0.65,1.3,23,"Atlético-MG",1,39,8,23,2,29,4,NA,NA,NA,NA,10,17,4,1,NA,NA,NA
