"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FF","FS","FT","I","PE","RB","SG","FD","DD","DP","G","GS","GC","CV","PP"
"1","Gilson Gomes do Nascimento","Gilson","https://s.glbimg.com/es/sde/f/2017/04/17/41717887cc5c81bcd28ad1df6829c7e6_FORMATO.png",52674,33,"BOT","lat","Nulo",-0.6,8.18,0.22,2.85,23,"Botafogo",1,5,20,3,27,2,1,30,16,8,NA,NA,NA,NA,NA,NA,NA,NA
"2","Luiz Rhodolfo Dini Gaioto","Rhodolfo","https://s.glbimg.com/es/sde/f/2017/06/20/fa889cb0da25023565bc57fe3fa29fde_FORMATO.png",42501,33,"FLA","zag","Provável",2.5,8.42,-0.01,3.9,16,"Flamengo",NA,2,18,5,6,NA,3,14,19,8,2,NA,NA,NA,NA,NA,NA,NA
"3","Wilson Rodrigues de Moura Júnior","Wilson","https://s.glbimg.com/es/sde/f/2017/09/05/a1edec3abed61e3df5ec4b21d324e499_FORMATO.png",50284,33,"COR","gol","Provável",-0.5,13.82,-3.05,5.3,33,"Coritiba",NA,2,NA,NA,7,NA,NA,17,NA,9,NA,64,3,1,43,NA,NA,NA
"4","Leandro Salino do Carmo","Leandro Salino","https://s.glbimg.com/es/sde/f/2017/02/20/88732a4309dfb2ee375054e5e944d3cf_FORMATO.png",51905,33,"VIT","lat","Nulo",0,5.87,0,3.4,7,"Vitória",NA,1,15,2,16,NA,NA,22,15,1,NA,NA,NA,NA,NA,NA,NA,NA
"5","Anderson Vieira Martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2017/07/24/b1c36aceb7c5d5fb95b9079cf23fe5fe_FORMATO.png",52618,33,"VAS","zag","Contundido",0,9.85,0,3.8,12,"Vasco",NA,1,13,6,2,NA,NA,28,19,5,NA,NA,NA,NA,NA,NA,NA,NA
"6","Jonata de Oliveira Bastos","Jonata","https://s.glbimg.com/es/sde/f/2017/11/07/ed4178ca44ea44706b7051821f7ccfbc_FORMATO.png",92622,33,"CRU","ata","Nulo",-0.8,0.79,0,-0.65,2,"Cruzeiro",NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Rafaelson Bezerra Fernandes","Rafaelson","https://s.glbimg.com/es/sde/f/2017/08/30/61a6ee575777488ca45219d75596aab6_FORMATO.png",92614,33,"VIT","ata","Nulo",0,1.54,0,-0.43,4,"Vitória",NA,1,10,3,2,NA,NA,5,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"8","Fabricio dos Santos Silva","Fabrício","https://s.glbimg.com/es/sde/f/2017/08/04/af2a8afc274774bf29c72ad4817f021e_FORMATO.png",49674,33,"ATL","lat","Provável",-1.1,4.48,-0.04,2.42,15,"Atlético-PR",NA,5,22,6,10,1,2,52,23,4,2,NA,NA,NA,NA,NA,NA,NA
"9","Júlio César Jacobi","Júlio César","https://s.glbimg.com/es/sde/f/2017/07/25/ff1d090ecbc688a4eaf1cd1f5e07cb34_FORMATO.png",49673,33,"FLU","gol","Nulo",0,5.15,0,1.7,20,"Fluminense",NA,NA,NA,NA,11,NA,NA,12,NA,2,NA,26,NA,NA,28,NA,NA,NA
"10","Claudio Luiz Rodrigues Parise Leonel","Claudinho","https://s.glbimg.com/es/sde/f/2017/06/01/7214c13dbff3a0e34d7a62814d535aa2_FORMATO.png",92630,33,"PON","ata","Nulo",0,0.79,0,0.04,13,"Ponte Preta",NA,1,17,8,6,NA,5,19,5,NA,2,NA,NA,NA,NA,NA,NA,NA
"11","Réver Humberto Alves Araújo","Réver","https://s.glbimg.com/es/sde/f/2017/08/16/85d20e5a1ac2e527a5eca70e709f7b10_FORMATO.jpeg",52253,33,"FLA","zag","Contundido",0,11.4,0,5.27,24,"Flamengo",NA,2,16,6,22,NA,2,28,31,7,5,NA,NA,5,NA,NA,NA,NA
"12","Antonio Eduardo Pereira dos Santos","Kanu","https://s.glbimg.com/es/sde/f/2017/02/20/2a67dc4c7c97236fb27abf4dbe5a39fc_FORMATO.png",51792,33,"VIT","zag","Provável",1.4,8.63,0.45,4.08,21,"Vitória",1,5,17,10,11,1,5,45,23,6,4,NA,NA,4,NA,1,NA,NA
"13","Denilson dos Santos de Souza","Denilson","https://s.glbimg.com/es/sde/f/2017/06/07/a960f52cf5f9b283c91b4ed4eb49d4e6_FORMATO.jpeg",92662,33,"GRE","zag","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
