"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","FT","PE","RB","SG","DD","GS","I","G","PP","CV","GC","DP"
"1","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/08/16/8083bd36b95c924dc4cf0341e39d22e4_FORMATO.jpeg",36540,35,"FLA","zag","Provável",0.5,6.12,-1.44,4.02,13,"Flamengo",2,5,10,3,6,7,1,14,19,3,NA,NA,NA,NA,NA,NA,NA,NA
"2","Luis Antônio Venker de Menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",37281,35,"CRU","tec","Provável",5.21,13.08,0.05,3.84,34,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Oswaldo de Oliveira","Oswaldo de Oliveira","https://s.glbimg.com/es/sde/f/2017/09/26/43d72dfbd2cff9b2ca73b83cd28119e5_FORMATO.png",36940,35,"ATL","tec","Provável",4.59,11.32,0.13,4.26,10,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Mário Lúcio Duarte Costa","Aranha","https://s.glbimg.com/es/sde/f/2017/05/02/803e0f7a5e12a827547f82d97fb403f0_FORMATO.png",37984,35,"PON","gol","Provável",1,11.33,0.57,3.47,32,"Ponte Preta",NA,2,NA,NA,NA,3,NA,12,1,11,48,42,NA,NA,NA,NA,NA,NA
"5","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2017/04/18/fa3a79559d24615c5cf4229992d82324_FORMATO.png",37607,35,"PAL","mei","Provável",0.7,5.29,-0.05,2.09,15,"Palmeiras",2,4,10,3,11,12,NA,50,20,NA,NA,NA,3,NA,NA,NA,NA,NA
"6","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2017/05/25/b470b28b3b68d95eff43163148c236f8_FORMATO.png",37673,35,"COR","ata","Contundido",0,1.79,0,-0.19,15,"Coritiba",NA,6,24,3,2,19,NA,24,7,NA,NA,NA,4,1,1,NA,NA,NA
"7","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2017/09/29/4202df5f7ffbef81d1801418eed48bc2_FORMATO.png",37608,35,"GRE","mei","Provável",0,3.12,0,1.7,3,"Grêmio",NA,NA,2,1,NA,2,NA,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Rodrigo Baldasso da Costa","Rodrigo","https://s.glbimg.com/es/sde/f/2017/06/13/a5cb57a41ef2b2308c98b76ba24b430a_FORMATO.png",37644,35,"PON","zag","Contundido",-0.3,8.64,-0.27,3.68,21,"Ponte Preta",NA,5,13,9,12,34,NA,46,23,8,NA,NA,2,NA,NA,1,NA,NA
"9","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2017/04/18/8397713ec780be3eaf28ae8d848c2736_FORMATO.png",36612,35,"PAL","lat","Nulo",0,6.99,0,1.98,14,"Palmeiras",2,1,16,NA,NA,7,NA,14,5,4,NA,NA,NA,NA,NA,NA,NA,NA
"10","Gilson Kleina","Gilson Kleina","https://s.glbimg.com/es/sde/f/2017/10/20/694aae00a3286c835cf98e36d3851bc3_FORMATO.png",37306,35,"CHA","tec","Provável",2.65,11.96,-0.71,3.8,29,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2017/04/23/755b6b8cfd82322b66a137677617403d_FORMATO.png",37604,35,"ATL","zag","Provável",-1.3,3.9,-0.9,1.91,19,"Atlético-PR",NA,4,14,2,NA,13,1,43,16,5,NA,NA,NA,NA,NA,NA,NA,NA
"12","Marcelo Mendonça de Mattos Terra","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,35,"VAS","mei","Contundido",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Ebert Willian Amâncio","Betão","https://s.glbimg.com/es/sde/f/2017/04/28/892740eaee3f590710c5572d2e84bbd1_FORMATO.png",37646,35,"AVA","zag","Provável",2.5,7.16,0.25,2.35,33,"Avaí",1,7,23,1,2,24,NA,64,24,11,NA,NA,1,1,NA,NA,NA,NA
"14","Anderson Pedro Nunes da Silva Campos","Anderson","https://s.glbimg.com/es/sde/f/2017/07/28/d35983b3ffefac867b94f43910498177_FORMATO.png",38001,35,"BAH","gol","Nulo",0,0.79,0,-2,2,"Bahia",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Rafael Marques Pinto","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/04/24/b057662177ede29cb7aec5d2426bea3b_FORMATO.png",37623,35,"VAS","zag","Nulo",0,2.5,0,1.15,14,"Vasco",NA,3,12,1,1,6,1,32,15,1,NA,NA,2,NA,NA,NA,NA,NA
