"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","G","PE","RB","SG","FT","I","PP","DD","GS","CV","DP","GC"
"1","Maycon de Andrade Barberan","Maycon","https://s.glbimg.com/es/sde/f/2017/04/28/66122f2239f4f742f47cf5008882313f_FORMATO.png",94154,37,"COR","mei","Suspenso",-0.3,7.2,-0.13,2.11,35,"Corinthians",3,3,24,8,17,16,1,101,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Luis Antônio Venker de Menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",37281,37,"CRU","tec","Provável",1.15,12.43,-0.44,3.77,36,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Pedro Henrique Perotti","Perotti","https://s.glbimg.com/es/sde/f/2017/04/25/9a67368382ccea91470efb3e85403f0b_FORMATO.png",94286,37,"CHA","ata","Nulo",0,1.8,0,0.9,2,"Chapecoense",NA,NA,2,NA,1,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Oswaldo de Oliveira","Oswaldo de Oliveira","https://s.glbimg.com/es/sde/f/2017/09/26/43d72dfbd2cff9b2ca73b83cd28119e5_FORMATO.png",36940,37,"ATL","tec","Provável",4.85,11.77,-0.27,4.58,12,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Leonardo Campos Duarte da Silva","Léo Duarte","https://s.glbimg.com/es/sde/f/2017/08/22/a3d5b1c1beaed6275d0c2a3e0b2748ed_FORMATO.jpeg",94214,37,"FLA","zag","Provável",0,3.24,0,4.2,1,"Flamengo",NA,NA,2,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"6","Mateus Norton Gomes Chaves","Mateus Norton","https://s.glbimg.com/es/sde/f/2017/07/25/cb48a350eba3ed301233b7101cab6d8b_FORMATO.png",94336,37,"FLU","mei","Contundido",0,1.56,0,0.8,12,"Fluminense",NA,3,12,NA,1,5,NA,18,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Guilherme Augusto Vieira dos Santos","Guilherme","https://s.glbimg.com/es/sde/f/2017/04/17/9b919498890d4bf28c289ff60c4e590e_FORMATO.png",94207,37,"BOT","ata","Dúvida",6.8,7.19,0.31,3.08,31,"Botafogo",1,2,26,12,18,50,4,70,26,NA,1,2,NA,NA,NA,NA,NA,NA
"8","Edimar Ribeiro da Costa Júnior","Juninho","https://s.glbimg.com/es/sde/f/2017/08/30/645c1110c278efad455b4d7220e4bdbc_FORMATO.png",94445,37,"SPO","ata","Nulo",0,0.9,0,0.75,13,"Sport",1,1,12,3,8,5,NA,18,5,NA,NA,3,NA,NA,NA,NA,NA,NA
"9","Thallyson Gabriel Lobo Seabra","Thallyson","https://s.glbimg.com/es/sde/f/2017/02/14/3e158bd1bb119b3c60c1c2d557560d42_FORMATO.png",94144,37,"SPO","mei","Nulo",0,0.83,0,0.48,15,"Sport",NA,3,15,NA,1,8,1,17,8,NA,NA,1,NA,NA,NA,NA,NA,NA
"10","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/08/16/8083bd36b95c924dc4cf0341e39d22e4_FORMATO.jpeg",36540,37,"FLA","zag","Nulo",0,6.12,0,4.02,13,"Flamengo",2,5,10,3,6,7,NA,14,19,3,1,NA,NA,NA,NA,NA,NA,NA
"11","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2017/04/18/8397713ec780be3eaf28ae8d848c2736_FORMATO.png",36612,37,"PAL","lat","Nulo",6.4,7.38,0.39,2.27,15,"Palmeiras",2,1,17,NA,NA,8,NA,15,6,5,NA,NA,NA,NA,NA,NA,NA,NA
"12","Lucas Ferreira Amaral","Lucas Ferreira","https://s.glbimg.com/es/sde/f/2016/05/01/a38c7b2a46cf04e24085ad1f45ce78bc_FORMATO.png",94147,37,"SPO","gol","Nulo",0,1,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Gilson Kleina","Gilson Kleina","https://s.glbimg.com/es/sde/f/2017/10/20/694aae00a3286c835cf98e36d3851bc3_FORMATO.png",37306,37,"CHA","tec","Provável",6.1,12.55,0.6,3.85,31,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2017/04/23/755b6b8cfd82322b66a137677617403d_FORMATO.png",37604,37,"ATL","zag","Contundido",-1.4,3.81,-0.09,1.74,20,"Atlético-PR",NA,4,16,2,NA,14,NA,46,16,5,1,NA,NA,NA,NA,NA,NA,NA
