"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","CV","FC","FD","FF","FS","FT","G","I","PE","RB","SG","PP","DD","GS","DP","GC"
"1","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2017/06/07/4171a633f759e859ac04b9293992adf3_FORMATO.png",37705,38,"AVA","mei","Nulo",-0.5,4.19,-0.44,1.45,22,"Avaí",2,5,1,29,4,9,29,1,1,3,64,21,NA,NA,NA,NA,NA,NA
"2","Nilmar Honorato da Silva","Nilmar","https://s.glbimg.com/es/sde/f/2017/07/28/a4a818526c2d0d556772bdd6a7049ca4_FORMATO.png",37653,38,"SAN","ata","Contundido",0,6.08,0,-0.55,2,"Santos",NA,NA,NA,2,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"3","Marcelo Mendonça de Mattos Terra","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,38,"VAS","mei","Contundido",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Ebert Willian Amâncio","Betão","https://s.glbimg.com/es/sde/f/2017/04/28/892740eaee3f590710c5572d2e84bbd1_FORMATO.png",37646,38,"AVA","zag","Provável",2.9,7.32,-0.32,2.47,36,"Avaí",1,8,NA,24,1,2,27,NA,1,1,67,29,12,NA,NA,NA,NA,NA
"5","Luis Antônio Venker de Menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",37281,38,"CRU","tec","Provável",1.08,12.32,-0.11,3.7,37,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2017/04/03/0262cdf9cadf70eee005c277def421cb_FORMATO.png",37655,38,"ATL","ata","Nulo",0.9,4.7,0.11,1.35,26,"Atlético-MG",NA,1,NA,44,10,12,27,2,4,17,32,6,NA,1,NA,NA,NA,NA
"7","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/08/16/8083bd36b95c924dc4cf0341e39d22e4_FORMATO.jpeg",36540,38,"FLA","zag","Nulo",0,6.12,0,4.02,13,"Flamengo",2,5,NA,10,3,6,7,1,NA,NA,14,19,3,NA,NA,NA,NA,NA
"8","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2017/04/18/a79e46999e573a44398324ab951f4c7a_FORMATO.png",37718,38,"PAL","mei","Nulo",0,4.95,0,1.2,1,"Palmeiras",NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"9","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2017/04/23/33e584cd67faa2ac529fcd131c75ed09_FORMATO.png",37770,38,"GRE","gol","Nulo",0,10.04,0,3.64,22,"Grêmio",NA,1,1,NA,NA,NA,NA,NA,NA,NA,7,NA,12,NA,19,14,NA,NA
"10","Robson de Souza","Robinho","https://s.glbimg.com/es/sde/f/2017/04/03/d0fe78529c78b3decfed9ab7ea31e79b_FORMATO.png",38246,38,"ATL","ata","Provável",3.5,12.75,0.24,3.05,31,"Atlético-MG",6,9,NA,27,5,9,37,1,7,24,79,27,NA,1,NA,NA,NA,NA
