"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","FC","FD","FF","FS","G","I","PE","RB","CA","SG","FT","DD","GS","CV","PP","DP"
"1","João Alves de Assis Silva","Jô","https://s.glbimg.com/es/sde/f/2017/04/23/013b2879d66c81bb0e92137fdfe045a8_FORMATO.png",38138,7,"COR","ata","Provável",-2.1,11.57,-1.26,5.31,7,"Corinthians",2,12,4,2,9,4,10,18,1,NA,NA,NA,NA,NA,NA,NA,NA
"2","Jadson Rodrigues da Silva","Jadson","https://s.glbimg.com/es/sde/f/2017/04/23/74a0bb24699753dd991412e8c67a1623_FORMATO.png",38315,7,"COR","mei","Nulo",6.8,10.48,0.55,1.61,7,"Corinthians",1,7,3,6,2,1,2,35,3,NA,NA,NA,NA,NA,NA,NA,NA
"3","Alexandre Tadeu Gallo","Alexandre Gallo","https://s.glbimg.com/es/sde/f/2017/06/06/ee2b94270801b97042a4a5bdae50276b_FORMATO.png",41363,7,"VIT","tec","Provável",4.23,7.03,0.33,3.76,3,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2017/04/18/fa3a79559d24615c5cf4229992d82324_FORMATO.png",37607,7,"PAL","mei","Nulo",0,5.01,0,0.44,5,"Palmeiras",NA,1,1,5,2,NA,2,21,5,2,NA,NA,NA,NA,NA,NA,NA
"5","Gilson Kleina","Gilson Kleina","https://s.glbimg.com/es/sde/f/2017/04/25/170c293b8b336044ef9d06f703796fcc_FORMATO.png",37306,7,"PON","tec","Provável",1.35,11.63,-0.62,4.23,7,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Wendel Geraldo Maurício e Silva","Wendel","https://s.glbimg.com/es/sde/f/2017/05/02/4a4ad263fb8caeebedbea1c1bab7d397_FORMATO.png",38021,7,"PON","mei","Provável",0,4.87,0,1.32,6,"Ponte Preta",1,4,NA,2,7,NA,1,3,2,1,NA,NA,NA,NA,NA,NA,NA
"7","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/04/24/b3a0848ae3a447c87cf7c807185b37a6_FORMATO.png",36540,7,"FLA","zag","Dúvida",0,7.76,0,6.83,3,"Flamengo",1,2,2,3,2,NA,NA,5,7,2,1,NA,NA,NA,NA,NA,NA
"8","Rodrigo Baldasso da Costa","Rodrigo","https://s.glbimg.com/es/sde/f/2017/06/13/a5cb57a41ef2b2308c98b76ba24b430a_FORMATO.png",37644,7,"PON","zag","Provável",0,8.12,0,2.72,4,"Ponte Preta",NA,NA,1,1,4,NA,NA,4,2,NA,1,NA,NA,NA,NA,NA,NA
"9","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2017/04/18/8397713ec780be3eaf28ae8d848c2736_FORMATO.png",36612,7,"PAL","lat","Dúvida",-0.4,7.28,-0.47,1.77,3,"Palmeiras",NA,6,NA,NA,4,NA,NA,6,3,1,1,NA,NA,NA,NA,NA,NA
"10","Marcelo Mendonça de Mattos Terra","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,7,"VAS","mei","Contundido",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Marcos Gabriel do Nascimento","Marquinhos Gabriel","https://s.glbimg.com/es/sde/f/2017/04/23/9326bc84d0f7eff7d097d6e60ee392c0_FORMATO.png",68954,7,"COR","mei","Provável",0.5,9.44,-0.82,6.22,4,"Corinthians",3,3,1,1,9,1,NA,14,2,1,NA,NA,NA,NA,NA,NA,NA
"12","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2017/04/03/0262cdf9cadf70eee005c277def421cb_FORMATO.png",37655,7,"ATL","ata","Provável",5.5,5.69,1.01,2.22,6,"Atlético-MG",NA,8,2,4,3,1,2,4,1,NA,NA,1,NA,NA,NA,NA,NA
"13","Carlos Alberto Gomes de Jesus","Carlos Alberto","https://s.glbimg.com/es/sde/f/2017/04/23/e6ee0f29664116ad56a6334200f1a86b_FORMATO.png",37652,7,"ATL","mei","Nulo",0,6.81,0,2.2,1,"Atlético-PR",NA,1,NA,1,3,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"14","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2017/04/19/9884b370f7327ae579c283e865aabf79_FORMATO.png",37608,7,"COR","mei","Nulo",0,4,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Ebert Willian Amâncio","Betão","https://s.glbimg.com/es/sde/f/2017/04/28/892740eaee3f590710c5572d2e84bbd1_FORMATO.png",37646,7,"AVA","zag","Suspenso",0.8,5.99,-0.14,1.85,7,"Avaí",NA,6,NA,1,10,NA,NA,19,7,3,2,NA,NA,NA,NA,NA,NA
"16","Rafael Marques Pinto","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/04/24/b057662177ede29cb7aec5d2426bea3b_FORMATO.png",37623,7,"VAS","zag","Contundido",0,2.12,0,-1.2,2,"Vasco",NA,4,NA,NA,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA
"17","Luis Ángel Salazar Cuesta","Salazar","https://s.glbimg.com/es/sde/f/2017/04/28/54e5ebd574f6ef20650d90d7e32baf44_FORMATO.png",93986,7,"AVA","zag","Nulo",0,3,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,7,"PAL","zag","Provável",1.1,9.23,-0.78,4.55,4,"Palmeiras",NA,5,1,NA,8,NA,1,2,4,NA,2,NA,NA,NA,NA,NA,NA
"19","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2017/04/23/755b6b8cfd82322b66a137677617403d_FORMATO.png",37604,7,"ATL","zag","Dúvida",0,4.08,0,0.87,4,"Atlético-PR",NA,4,NA,NA,4,NA,NA,10,5,1,NA,NA,NA,NA,NA,NA,NA
"20","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png",37656,7,"CRU","gol","Provável",4,12.71,-0.05,4.37,7,"Cruzeiro",NA,1,NA,NA,NA,NA,NA,3,NA,NA,3,NA,9,5,NA,NA,NA
"21","Julio Cesar Coelho de Moraes Júnior","Julio Cesar","https://s.glbimg.com/es/sde/f/2017/04/17/1fdd617943f798215323bf53718e1f45_FORMATO.png",37663,7,"VAS","lat","Nulo",0,3,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/23/2e9071da78a7b84be87644f435c375ea_FORMATO.png",37662,7,"ATL","lat","Provável",4.2,6.94,0.89,1.95,6,"Atlético-PR",NA,3,NA,NA,5,NA,NA,14,7,1,1,NA,NA,NA,NA,NA,NA
"23","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,7,"CRU","mei","Dúvida",-1.9,3.77,-0.21,-0.5,6,"Cruzeiro",NA,6,NA,1,4,NA,NA,13,6,2,NA,NA,NA,NA,1,NA,NA
"24","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2017/05/25/b470b28b3b68d95eff43163148c236f8_FORMATO.png",37673,7,"COR","ata","Provável",-0.5,3.62,-0.62,-0.4,3,"Coritiba",NA,2,NA,NA,1,NA,NA,2,2,NA,NA,NA,NA,NA,NA,1,NA
