"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","PE","RB","SG","I","G","CV","PP","DD","GS","FT","DP"
"1","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/04/24/b3a0848ae3a447c87cf7c807185b37a6_FORMATO.png",36540,8,"FLA","zag","Dúvida",0.2,6.25,-1.51,5.17,4,"Flamengo",1,2,3,2,3,4,6,7,1,NA,NA,NA,NA,NA,NA,NA,NA
"2","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2017/04/19/9884b370f7327ae579c283e865aabf79_FORMATO.png",37608,8,"COR","mei","Nulo",0,4,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Rafael Marques Pinto","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/04/24/b057662177ede29cb7aec5d2426bea3b_FORMATO.png",37623,8,"VAS","zag","Contundido",0,2.12,0,-1.2,2,"Vasco",NA,NA,4,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2017/04/23/755b6b8cfd82322b66a137677617403d_FORMATO.png",37604,8,"ATL","zag","Nulo",0,4.08,0,0.87,4,"Atlético-PR",NA,1,4,NA,NA,4,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2017/04/18/fa3a79559d24615c5cf4229992d82324_FORMATO.png",37607,8,"PAL","mei","Nulo",0,5.01,0,0.44,5,"Palmeiras",NA,2,1,1,5,2,21,5,NA,2,NA,NA,NA,NA,NA,NA,NA
"6","Gilson Kleina","Gilson Kleina","https://s.glbimg.com/es/sde/f/2017/04/25/170c293b8b336044ef9d06f703796fcc_FORMATO.png",37306,8,"PON","tec","Provável",4.39,12.18,0.55,4.25,8,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2017/04/18/8397713ec780be3eaf28ae8d848c2736_FORMATO.png",36612,8,"PAL","lat","Nulo",0,7.28,0,1.77,3,"Palmeiras",NA,1,6,NA,NA,4,6,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"8","Luis Antônio Venker de Menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",37281,8,"CRU","tec","Provável",6.85,12.59,1.02,3.82,8,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Ebert Willian Amâncio","Betão","https://s.glbimg.com/es/sde/f/2017/04/28/892740eaee3f590710c5572d2e84bbd1_FORMATO.png",37646,8,"AVA","zag","Provável",0,5.99,0,1.85,7,"Avaí",NA,3,6,NA,1,10,19,7,2,NA,NA,NA,NA,NA,NA,NA,NA
"10","Rodrigo Baldasso da Costa","Rodrigo","https://s.glbimg.com/es/sde/f/2017/06/13/a5cb57a41ef2b2308c98b76ba24b430a_FORMATO.png",37644,8,"PON","zag","Provável",4.7,8.77,0.65,3.12,5,"Ponte Preta",NA,1,NA,1,1,5,4,3,2,1,NA,NA,NA,NA,NA,NA,NA
"11","João Alves de Assis Silva","Jô","https://s.glbimg.com/es/sde/f/2017/04/23/013b2879d66c81bb0e92137fdfe045a8_FORMATO.png",38138,8,"COR","ata","Provável",0.5,11.69,0.12,4.71,8,"Corinthians",2,NA,13,4,2,12,18,1,NA,11,4,NA,NA,NA,NA,NA,NA
"12","Marcelo Mendonça de Mattos Terra","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,8,"VAS","mei","Contundido",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
