"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FS","PE","RB","FD","FF","I","SG","A","DD","GS","G","PP","FT","DP","CV","GC"
"1","Luis Antônio Venker de Menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",37281,9,"CRU","tec","Provável",0.03,11.41,-1.18,3.4,9,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2017/04/23/755b6b8cfd82322b66a137677617403d_FORMATO.png",37604,9,"ATL","zag","Nulo",0,4.08,0,0.87,4,"Atlético-PR",1,4,4,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2017/04/18/fa3a79559d24615c5cf4229992d82324_FORMATO.png",37607,9,"PAL","mei","Contundido",0,5.01,0,0.44,5,"Palmeiras",2,1,2,21,5,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Gilson Kleina","Gilson Kleina","https://s.glbimg.com/es/sde/f/2017/04/25/170c293b8b336044ef9d06f703796fcc_FORMATO.png",37306,9,"PON","tec","Provável",4.14,12.26,0.08,4.24,9,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2017/04/18/8397713ec780be3eaf28ae8d848c2736_FORMATO.png",36612,9,"PAL","lat","Dúvida",0,7.28,0,1.77,3,"Palmeiras",1,6,4,6,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2017/04/24/b3a0848ae3a447c87cf7c807185b37a6_FORMATO.png",36540,9,"FLA","zag","Suspenso",-0.8,5.92,-0.33,3.98,5,"Flamengo",3,4,4,6,8,2,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"7","João Paulo da Silva","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/24/bd4f8a7faf06636fd48dc601b16ea0af_FORMATO.png",56102,9,"COR","mei","Contundido",0,7,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Willians dos Santos Santana","Willians","https://s.glbimg.com/es/sde/f/2017/06/07/e24d137ff5aa2e79299e85cf581744a1_FORMATO.png",60787,9,"AVA","ata","Nulo",0,3.23,-0.08,0.23,6,"Avaí",NA,14,6,8,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Alexi Stival","Cuca","https://s.glbimg.com/es/sde/f/2016/05/01/ffe92c9e05e8100cdb59ce176a5352f5_FORMATO.png",42411,9,"PAL","tec","Provável",6.19,13.95,0.33,3.98,9,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Felipe Garcia dos Prazeres","Felipe Garcia","https://s.glbimg.com/es/sde/f/2017/04/27/986affeeae68d3af059f6c98de882ddb_FORMATO.png",42330,9,"ATL","gol","Provável",4.5,8.97,0.34,5.09,8,"Atlético-GO",1,NA,1,6,NA,NA,NA,NA,1,NA,21,12,NA,NA,NA,NA,NA,NA
"11","Cássio Luís Rissardo","Xuxa","https://s.glbimg.com/es/sde/f/2017/04/25/f61368b41b39832165af38d0ac96fda8_FORMATO.png",55594,9,"PON","mei","Nulo",0,2.44,0,0.55,2,"Ponte Preta",NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Wesley Lopes Beltrame","Wesley","https://s.glbimg.com/es/sde/f/2016/05/01/df95d867f8ae0ddd0e0485b9b344e610_FORMATO.png",50421,9,"SAO","mei","Nulo",0,4.1,0,1.2,1,"São Paulo",NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Julio Daniel dos Santos Rodríguez","Julio dos Santos","https://s.glbimg.com/es/sde/f/2017/04/17/649e4e7bd437c7088ca460c013ae1718_FORMATO.png",60853,9,"VAS","mei","Nulo",0,5,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Rafael de Souza Pereira","Rafael Carioca","https://s.glbimg.com/es/sde/f/2017/04/03/902e1c13569f1c4cc9f929691cc6d625_FORMATO.png",60784,9,"ATL","mei","Provável",-0.1,5.97,-0.27,1.47,9,"Atlético-MG",2,8,13,19,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Anderson Vital da Silva","Dedé","https://s.glbimg.com/es/sde/f/2017/04/05/526dd85f05139f739aca91b753b00ec9_FORMATO.png",60819,9,"CRU","zag","Contundido",0,8.86,0,3.43,3,"Cruzeiro",NA,1,2,12,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Bruno Vieira Gallo","Bruno Gallo","https://s.glbimg.com/es/sde/f/2017/04/06/68766fe1a4a33ee25c95b972979bf44c_FORMATO.png",60802,9,"VAS","mei","Nulo",0,1.7,0,-0.6,1,"Vasco",NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Jael Ferreira Vieira","Jael","https://s.glbimg.com/es/sde/f/2017/04/23/585f69babcaf14c7eaf22537e3c5338c_FORMATO.png",60859,9,"GRE","ata","Contundido",0,5,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Patric Cabral Lalau","Patric","https://s.glbimg.com/es/sde/f/2017/04/24/89077bf2beda96cfae171fad51c21cd1_FORMATO.png",60969,9,"VIT","lat","Provável",3,7.09,-0.3,2.4,6,"Vitória",NA,11,6,33,10,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Gilberto Oliveira Souza Júnior","Gilberto","https://s.glbimg.com/es/sde/f/2016/08/18/6af48de27fa231f0a84e3301c9451cb9_FORMATO.png",61188,9,"SAO","ata","Nulo",0,4.2,0,1.58,5,"São Paulo",1,4,1,3,1,2,3,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"20","Rodrigo Eduardo Costa Marinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2017/04/20/ff3f0ec8867916a05745cdee54815442_FORMATO.png",61033,9,"COR","mei","Provável",1,14.49,-0.71,4.75,6,"Corinthians",1,8,14,20,7,2,3,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA
"21","Lucca Borges Brito","Lucca","https://s.glbimg.com/es/sde/f/2017/05/02/bd59d7bbf1fff0ce2e2dd4b489c5c99a_FORMATO.png",61149,9,"PON","ata","Provável",9.1,21.26,1,8.38,9,"Ponte Preta",NA,13,30,24,7,6,6,2,NA,1,NA,NA,6,NA,NA,NA,NA,NA
"22","Fagner Conserva Lemos","Fagner","https://s.glbimg.com/es/sde/f/2017/04/19/e126b3b0182f6b12d3cc13d20f515810_FORMATO.png",42500,9,"COR","lat","Provável",14.4,13.19,2.8,5.13,6,"Corinthians",2,6,8,27,7,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"23","Marcos Antônio da Silva Gonçalves","Marquinhos","https://s.glbimg.com/es/sde/f/2017/05/03/cc800ad5ce3aeb287358e50e4352911b_FORMATO.png",60788,9,"SPO","ata","Nulo",0,5.05,0,3.03,3,"Sport",NA,2,2,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"24","Luiz Rhodolfo Dini Gaioto","Rhodolfo","https://s.glbimg.com/es/sde/f/2017/06/20/fa889cb0da25023565bc57fe3fa29fde_FORMATO.png",42501,9,"FLA","zag","Provável",1.2,6.55,-1.45,1.2,1,"Flamengo",NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Fabricio dos Santos Silva","Fabrício","https://s.glbimg.com/es/sde/f/2017/02/19/24191456ff9447eb594b23afd68b389a_FORMATO.png",49674,9,"CRU","lat","Nulo",0,5,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Júlio César Jacobi","Júlio César","https://s.glbimg.com/es/sde/f/2016/04/29/88d18a6c7e76b53f49c068867e67a91b_FORMATO.png",49673,9,"FLU","gol","Provável",14,6.7,3.38,1.5,5,"Fluminense",NA,NA,4,5,NA,NA,NA,NA,1,NA,6,8,NA,NA,NA,NA,NA,NA
"27","Bruno Vieira do Nascimento","Bruno","https://s.glbimg.com/es/sde/f/2016/05/01/d2edee13739b924fb1847c5369f28455_FORMATO.png",42499,9,"SAO","lat","Nulo",0,5.63,0,1.07,4,"São Paulo",1,3,5,16,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Wilson Rodrigues de Moura Júnior","Wilson","https://s.glbimg.com/es/sde/f/2017/04/24/5b2f43325fb756c251e30f1bd567af5b_FORMATO.png",50284,9,"COR","gol","Provável",11,14.42,1.5,6.41,9,"Coritiba",NA,NA,3,6,NA,NA,NA,NA,5,NA,15,6,NA,NA,NA,NA,NA,NA
"29","Guilherme Milhomem Gusmão","Guilherme","https://s.glbimg.com/es/sde/f/2017/04/28/0dde0e778cab6579a9bf8d745efc2bf0_FORMATO.png",50294,9,"ATL","mei","Contundido",0,10.33,0,2.37,3,"Atlético-PR",NA,1,4,8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"30","Everton Cardoso da Silva","Everton","https://s.glbimg.com/es/sde/f/2017/04/24/baf540d146fb96f0159339aad269538d_FORMATO.png",50301,9,"FLA","mei","Suspenso",4.8,14.5,0.49,4.3,8,"Flamengo",3,12,14,30,14,5,3,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA
"31","David Braz de Oliveira Filho","David Braz","https://s.glbimg.com/es/sde/f/2017/05/02/7e17e0feab3ee583c5049f63df2c2771_FORMATO.png",50317,9,"SAN","zag","Nulo",6,11.83,0.04,4.84,8,"Santos",3,7,4,26,8,1,2,NA,6,NA,NA,NA,1,NA,NA,NA,NA,NA
"32","Adilson Warken","Adilson","https://s.glbimg.com/es/sde/f/2017/04/03/8a5b4672974501d33850ca575e0f117c_FORMATO.png",50307,9,"ATL","mei","Contundido",0,5.18,0,0.5,3,"Atlético-MG",NA,6,1,6,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","João Paulo Purcino de Almeida","João Paulo","https://s.glbimg.com/es/sde/f/2017/04/28/61a2cc88c95e6ada6bf3c127a23ec96f_FORMATO.png",62997,9,"AVA","lat","Nulo",0,4,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Hudson Rodrigues dos Santos","Hudson","https://s.glbimg.com/es/sde/f/2017/02/05/3d3e3081a494b80799d348813e420860_FORMATO.png",50324,9,"CRU","mei","Nulo",8.3,6.94,1.5,2.47,6,"Cruzeiro",1,8,6,11,11,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Airton Ribeiro Santos","Airton","https://s.glbimg.com/es/sde/f/2016/05/19/53e1bd0759a8f98439752def04457e15_FORMATO.png",61985,9,"BOT","mei","Contundido",0,5.63,0,1.17,3,"Botafogo",NA,3,4,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Carlos Cesar Neves","Carlos Cesar","https://s.glbimg.com/es/sde/f/2017/04/03/ed8cd5220fe7c5ba0069143fad70f518_FORMATO.png",61211,9,"ATL","lat","Contundido",0,4.46,0,-0.7,1,"Atlético-MG",NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Wellington Aparecido Martins","Wellington","https://s.glbimg.com/es/sde/f/2017/05/31/dd89d6216d99df8fdd4aae38684aec26_FORMATO.png",62129,9,"VAS","mei","Nulo",0,0.86,0,-1.7,4,"Vasco",1,10,3,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Marcelo Oliveira Ferreira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2016/04/30/401897dab69a776fef1185ec3ba1b85f_FORMATO.png",50328,9,"GRE","lat","Contundido",0,9.97,0,5.1,1,"Grêmio",1,2,4,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Victor Ramos Ferreira","Victor Ramos","https://s.glbimg.com/es/sde/f/2017/04/25/b46cb463e6cdc67676c6fde0cbbdfdf9_FORMATO.png",63000,9,"CHA","zag","Provável",7.3,8.98,1.4,3.09,9,"Chapecoense",1,12,2,20,8,2,3,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA
"40","William Matheus da Silva","William Matheus","https://s.glbimg.com/es/sde/f/2017/04/24/dc3d5fdf33d1716e51abe9c2aad2d182_FORMATO.png",62130,9,"COR","lat","Provável",0.9,8.12,-1.2,4.08,8,"Coritiba",3,10,20,25,10,4,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Werley Ananias da Silva","Werley","https://s.glbimg.com/es/sde/f/2017/04/24/5d30208b79a04fd4710a6c79831dae42_FORMATO.png",62974,9,"COR","zag","Provável",2.1,8.44,-0.01,3.88,9,"Coritiba",NA,3,1,25,10,NA,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Maikon Fernando Souza Leite","Maikon Leite","https://s.glbimg.com/es/sde/f/2017/02/18/d1beebf2d6769d1d954a6d387ae17218_FORMATO.png",62069,9,"BAH","ata","Nulo",0,2.15,0,-0.5,2,"Bahia",NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Fernando Camilo Farias","Camilo","https://s.glbimg.com/es/sde/f/2016/06/28/8a03ee3ad9899f775f55818fc2c7e956_FORMATO.jpeg",62009,9,"BOT","mei","Dúvida",0,11.07,0,1.47,3,"Botafogo",NA,NA,3,3,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Jean Raphael Vanderlei Moreira","Jean","https://s.glbimg.com/es/sde/f/2017/04/18/84289863d6f3328bec523c3cfeadb268_FORMATO.png",62047,9,"PAL","lat","Provável",8.1,15.59,1.26,3.97,6,"Palmeiras",NA,3,6,19,5,2,5,1,2,NA,NA,NA,1,1,NA,NA,NA,NA
"45","Marcos Luis Rocha Aquino","Marcos Rocha","https://s.glbimg.com/es/sde/f/2017/04/03/043d9369ddb104e41861bbe7b79afb5d_FORMATO.png",63013,9,"ATL","lat","Contundido",0,11.33,0,3.35,2,"Atlético-MG",NA,5,3,16,4,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"46","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2017/04/19/9884b370f7327ae579c283e865aabf79_FORMATO.png",37608,9,"COR","mei","Nulo",0,4,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Edimar Curitiba Fraga","Edimar","https://s.glbimg.com/es/sde/f/2017/04/25/0991c88dd099660fdb7cfc88a4bedab1_FORMATO.png",62024,9,"SAO","lat","Nulo",0,5,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Marcos Rogério Ricci Lopes","Pará","https://s.glbimg.com/es/sde/f/2017/04/24/44fa9261c93718d8ee74e043fad7adbb_FORMATO.png",62086,9,"FLA","lat","Nulo",0,8.98,0,2.4,7,"Flamengo",NA,9,4,16,2,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"49","Rafael Marques Pinto","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/04/24/b057662177ede29cb7aec5d2426bea3b_FORMATO.png",37623,9,"VAS","zag","Nulo",0,2.12,0,-1.2,2,"Vasco",NA,4,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Willian Roberto Farias","Willian Farias","https://s.glbimg.com/es/sde/f/2017/04/24/15cf98a07f1ca5efaa16bc8321c04658_FORMATO.png",63058,9,"VIT","mei","Provável",7.9,9.77,1.02,3.76,7,"Vitória",3,12,3,24,23,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"51","Kayke Moreno de Andrade Rodrigues","Kayke","https://s.glbimg.com/es/sde/f/2017/05/02/175b6e25643dfdf97032cd564bc4e5c4_FORMATO.png",50402,9,"SAN","ata","Provável",-1.8,4.46,-0.44,2.89,7,"Santos",NA,6,4,23,1,3,2,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"52","Róbson Michael Signorini","Robinho","https://s.glbimg.com/es/sde/f/2016/05/12/bca701933eaad8640785a2a634d5edf4_FORMATO.png",62104,9,"CRU","mei","Provável",0,9.86,0,2.63,4,"Cruzeiro",2,4,2,25,6,2,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"53","Rodrigo Baldasso da Costa","Rodrigo","https://s.glbimg.com/es/sde/f/2017/06/13/a5cb57a41ef2b2308c98b76ba24b430a_FORMATO.png",37644,9,"PON","zag","Provável",8,9.73,0.96,3.93,6,"Ponte Preta",1,3,7,6,5,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Marcelo Mendonça de Mattos Terra","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,9,"VAS","mei","Contundido",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Ebert Willian Amâncio","Betão","https://s.glbimg.com/es/sde/f/2017/04/28/892740eaee3f590710c5572d2e84bbd1_FORMATO.png",37646,9,"AVA","zag","Provável",0.6,5.77,-0.22,1.69,8,"Avaí",3,6,11,22,7,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Vanderlei Farias da Silva","Vanderlei","https://s.glbimg.com/es/sde/f/2016/05/01/82e0b04b2f7623a1d61ffaff2e36a59c_FORMATO.png",62121,9,"SAN","gol","Provável",14.5,21.13,1.37,10.4,9,"Santos",NA,NA,1,3,NA,NA,NA,NA,6,NA,23,6,NA,NA,NA,1,NA,NA
"57","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,9,"PAL","zag","Dúvida",5.4,9.9,0.67,4.72,5,"Palmeiras",NA,7,8,3,5,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Walter Henrique da Silva","Walter","https://s.glbimg.com/es/sde/f/2017/06/01/bba975f9c1f34505f37eedc4d7693aad_FORMATO.png",62128,9,"ATL","ata","Nulo",0,7.84,0,1.1,6,"Atlético-GO",1,8,10,23,1,3,4,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"59","Julio Cesar Coelho de Moraes Júnior","Julio Cesar","https://s.glbimg.com/es/sde/f/2017/04/17/1fdd617943f798215323bf53718e1f45_FORMATO.png",37663,9,"VAS","lat","Nulo",0,3,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/23/2e9071da78a7b84be87644f435c375ea_FORMATO.png",37662,9,"ATL","lat","Suspenso",6.2,8.14,0.21,3.17,8,"Atlético-PR",2,4,8,20,10,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Carlos Alberto Gomes de Jesus","Carlos Alberto","https://s.glbimg.com/es/sde/f/2017/04/23/e6ee0f29664116ad56a6334200f1a86b_FORMATO.png",37652,9,"ATL","mei","Nulo",0.9,5.72,-1.09,1.55,2,"Atlético-PR",NA,2,5,6,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2017/04/03/0262cdf9cadf70eee005c277def421cb_FORMATO.png",37655,9,"ATL","ata","Provável",0,7.08,0,3.3,7,"Atlético-MG",NA,11,6,6,2,3,5,4,NA,NA,NA,NA,2,NA,1,NA,NA,NA
"63","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png",37656,9,"CRU","gol","Provável",-2.3,11.66,-1.6,3.81,9,"Cruzeiro",NA,1,NA,4,NA,NA,NA,NA,3,NA,13,9,NA,NA,NA,NA,NA,NA
"64","Leonardo Rodrigues dos Santos","Léo Santos","https://s.glbimg.com/es/sde/f/2017/04/23/1d114129100c1552c9d2fac173daf8ea_FORMATO.jpeg",95820,9,"COR","zag","Nulo",0,4.38,0,5,1,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2017/05/25/b470b28b3b68d95eff43163148c236f8_FORMATO.png",37673,9,"COR","ata","Provável",-2.2,2.99,-0.56,-0.7,5,"Coritiba",NA,7,2,11,3,1,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"66","Lucas Rios Marques","Lucas","https://s.glbimg.com/es/sde/f/2017/01/13/c82e7265df8e1826bec18601456898a5_FORMATO.png",50362,9,"FLU","lat","Provável",0,2.11,0,0.33,7,"Fluminense",NA,17,6,14,6,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
