"Pos","Clube","P","J","V","E","D","GP","GC","SG","VM","VV","DM","DV","CA","CV","%"
"1º","Corinthians - SP",35,13,11,2,0,23,5,18,6,5,0,0,26,1,89
"2º","Grêmio - RS",25,13,8,1,4,24,14,10,4,4,2,2,26,1,64
"3º","Santos - SP",23,13,7,2,4,14,10,4,4,3,2,2,30,2,58
"4º","Flamengo - RJ",23,13,6,5,2,19,9,10,3,3,1,1,26,0,58
"5º","Sport - PE",21,13,6,3,4,19,16,3,4,2,1,3,23,1,53
"6º","Cruzeiro - MG",20,13,6,2,5,16,13,3,4,2,1,4,26,1,51
"7º","Palmeiras - SP",19,13,6,1,6,16,14,2,4,2,1,5,34,1,48
"8º","Vasco da Gama - RJ",19,13,6,1,6,19,24,-5,5,1,2,4,32,0,48
"9º","Botafogo - RJ",19,13,5,4,4,14,12,2,3,2,1,3,31,0,48
"10º","Coritiba - PR",19,13,5,4,4,15,14,1,3,2,1,3,30,2,48
"11º","Fluminense - RJ",17,13,4,5,4,21,21,0,2,2,2,2,30,0,43
"12º","Atlético - MG",17,13,4,5,4,14,14,0,2,2,3,1,33,0,43
"13º","Bahia - BA",15,13,4,3,6,17,15,2,3,1,2,4,26,4,38
"14º","Atlético - PR",15,13,4,3,6,12,18,-6,2,2,3,3,30,2,38
"15º","Ponte Preta - SP",15,13,4,3,6,12,18,-6,4,0,2,4,27,3,38
"16º","Chapecoense - SC",15,13,4,3,6,18,26,-8,3,1,3,3,38,2,38
"17º","São Paulo - SP",12,13,3,3,7,14,16,-2,3,0,1,6,23,0,30
"18º","Vitória - BA",12,13,3,3,7,12,20,-8,1,2,4,3,33,1,30
"19º","Avaí - SC",12,13,3,3,7,8,17,-9,1,2,2,5,28,3,30
"20º","Atlético - GO",8,13,2,2,9,11,22,-11,2,0,4,5,25,1,20
