nome.cbf,nome.cartola,nome.completo,cod.older,cod.2017,id
América - MG,Atlético-GO,America MG,327,NA,327
<<<<<<< HEAD
America - RN,NA,America RN,200,NA,200
=======
,NA,America RN,200,NA,200
>>>>>>> ee7f4d7bf271c5954807b0c9387f876224efa5c4
Atlético - GO,NA,Atletico GO,201,373,373
Atlético - MG,Atlético-MG,Atletico Mineiro,282,282,282
Atletico - PR,Atlético-PR,Atletico Paranaense,293,293,293
Atlético - PR,Atlético-PR,Atletico Paranaense,293,293,293
Avaí - SC,Avaí,Avai FC,202,314,314
Botafogo - RJ,Botafogo,Botafogo RJ,263,263,263
<<<<<<< HEAD
Brasiliense,NA,Brasiliense,203,NA,203
Ceara SC,NA,Ceara SC,204,NA,204
Chapecoense - SC,Chapecoense,Chapecoense,315,315,315
Clube Nautico,NA,Clube Nautico,205,NA,205
=======
NA,NA,Brasiliense,203,NA,203
NA,NA,Ceara SC,204,NA,204
Chapecoense - SC,Chapecoense,Chapecoense,315,315,315
NA,NA,Clube Nautico,205,NA,205
>>>>>>> ee7f4d7bf271c5954807b0c9387f876224efa5c4
Corinthians - SP,Corinthians,Corinthians SP,264,264,264
Coritiba - PR,Coritiba,Coritiba FC,294,294,294
Criciuma - SC,NA,Criciuma EC,206,NA,206
Cruzeiro - MG,Cruzeiro,Cruzeiro EC,283,283,283
Bahia - BA,Bahia,EC Bahia,207,265,265
<<<<<<< HEAD
Vitória – BA,Vitória,EC Vitoria BA,287,287,287
Figueirense - SC,NA,Figueirense,316,NA,316
Flamengo - RJ,Flamengo,Flamengo RJ,262,262,262
Fluminense - RJ,Fluminense,Fluminense RJ,266,266,266
Fortaleza,NA,Fortaleza,209,NA,209
Goiás - GO,NA,Goias EC,210,NA,210
Gremio Barueri,NA,Gremio Barueri,211,NA,211
Grêmio - RS,Grêmio,Gremio Porto Alegre,284,284,284
Gremio Prudente,NA,Gremio Prudente,212,NA,212
Guarani FC,NA,Guarani FC,213,NA,213
Internacional - RS,NA,Internacional,285,NA,285
Ipatinga FC,NA,Ipatinga FC,214,NA,214
Joinville - SC,NA,Joinville EC,215,NA,215
Juventude RS,NA,Juventude RS,216,NA,216
Parana Clube,NA,Parana Clube,217,NA,217
NAPaysandu SC,NA,Paysandu SC,218,NA,218
Ponte Preta - SP,Ponte Preta,Ponte Preta,303,303,303
Portuguesa,NA,Portuguesa,219,NA,219
Santa Cruz - PE,NA,Santa Cruz FC,344,NA,344
Santo Andre EC,NA,Santo Andre EC,220,NA,220
Santos - SP,Santos,Santos FC,277,277,277
Sao Caetano,NA,Sao Caetano,221,NA,221
=======
NA,NA,EC Vitoria BA,287,287,287
Figueirense - SC,NA,Figueirense,316,NA,316
Flamengo - RJ,Flamengo,Flamengo RJ,262,262,262
Fluminense - RJ,Fluminense,Fluminense RJ,266,266,266
NA,NA,Fortaleza,209,NA,209
Goiás - GO,NA,Goias EC,210,NA,210
NA,NA,Gremio Barueri,211,NA,211
Grêmio - RS,Grêmio,Gremio Porto Alegre,284,284,284
NA,NA,Gremio Prudente,212,NA,212
NA,NA,Guarani FC,213,NA,213
Internacional - RS,NA,Internacional,285,NA,285
NA,NA,Ipatinga FC,214,NA,214
Joinville - SC,NA,Joinville EC,215,NA,215
NA,NA,Juventude RS,216,NA,216
NA,NA,Parana Clube,217,NA,217
NA,NA,Paysandu SC,218,NA,218
Ponte Preta - SP,Ponte Preta,Ponte Preta,303,303,303
NA,NA,Portuguesa,219,NA,219
Santa Cruz - PE,NA,Santa Cruz FC,344,NA,344
NA,NA,Santo Andre EC,220,NA,220
Santos - SP,Santos,Santos FC,277,277,277
NA,NA,Sao Caetano,221,NA,221
>>>>>>> ee7f4d7bf271c5954807b0c9387f876224efa5c4
São Paulo - SP,São Paulo,Sao Paulo FC,276,276,276
Palmeiras - SP,Palmeiras,SE Palmeiras,275,275,275
Sport - PE,Sport,Sport Club Recife,292,292,292
Vasco da Gama - RJ,Vasco,Vasco da Gama,221,267,267
Vitória - BA,Vitória,Vitória,NA,287,287
