preco_num,variacao_num,atleta_id,status_id,clube_nome,pontos_num,rodada_id,apelido,posicao_id,FS,A,FT,FD,FF,G,I,PP,FC,GC,CA,CV,SG,DD,DP,GS,DS,DE,PC,PS,ano,Date,Time,casa,adversario_nome,odds_vitoria,odds_derrota,gols_time,gols_oponente,odds_empate
4.95,-2.05,85300,Contundido,flamengo,0.0,1,Berrío ,ata,,,,,,,,,,,,,,,,,,0.0,,,2017,13/05/2017,20:00,1,atlético-mg,1.87,4.04,1,1,3.49
9.51,-1.49,95780,Provável,flamengo,2.45,1,Zé Ricardo,tec,,,,,,,,,,,,,,,,,,0.0,,,2017,13/05/2017,20:00,1,atlético-mg,1.87,4.04,1,1,3.49
6.11,1.11,36540,Provável,flamengo,7.5,4,Juan,zag,,,,1.0,2.0,,,,2.0,,1.0,,1.0,,,,2.55,0.0,,,2017,04/06/2017,15:00,1,botafogo,1.65,5.37,0,0,3.62
8.24,0.39,38311,Provável,flamengo,2.8,4,Márcio Araújo,mei,2.0,,,,0.0,,,,2.0,,,,,,,,2.55,0.0,,,2017,04/06/2017,15:00,1,botafogo,1.65,5.37,0,0,3.62
19.46,-5.54,38909,Dúvida,flamengo,1.2,4,Diego,mei,2.0,,,1.0,,,,,1.0,,,,,,,,,0.0,,,2017,04/06/2017,15:00,1,botafogo,1.65,5.37,0,0,3.62
15.11,-1.08,50301,Provável,flamengo,2.8,4,Everton,mei,2.0,0.0,,0.0,2.0,0.0,,,2.0,,0.0,,,,,,1.275,0.0,,,2017,04/06/2017,15:00,1,botafogo,1.65,5.37,0,0,3.62
9.92,0.9,52253,Provável,flamengo,5.5,4,Réver,zag,1.0,,,,,,,,1.0,,,,1.0,,,,1.275,0.0,,,2017,04/06/2017,15:00,1,botafogo,1.65,5.37,0,0,3.62
9.5,0.44,62086,Provável,flamengo,4.0,4,Pará,lat,0.0,0.0,,,1.0,,,,1.0,,,,1.0,,,,0.0,0.0,,,2017,04/06/2017,15:00,1,botafogo,1.65,5.37,0,0,3.62
9.26,-1.54,68953,Provável,flamengo,0.0,4,Leandro Damião,ata,,,,0.0,0.0,0.0,,,0.0,,,,,,,,,0.0,,,2017,04/06/2017,15:00,1,botafogo,1.65,5.37,0,0,3.62
4.68,-1.08,70173,Provável,flamengo,-1.0,4,Ederson,mei,3.0,,,0.0,0.0,,,,2.0,,,,,,,,0.0,0.0,,,2017,04/06/2017,15:00,1,botafogo,1.65,5.37,0,0,3.62
2.27,-1.28,71709,Dúvida,flamengo,-3.6,4,Cuéllar,mei,,,,,,,,,2.0,,1.0,,,,,,,0.0,,,2017,04/06/2017,15:00,1,botafogo,1.65,5.37,0,0,3.62
11.86,2.05,75295,Nulo,flamengo,9.4,4,Paolo Guerrero,ata,3.0,,,1.0,2.0,,0.0,,2.0,,,,,,,,5.1,0.0,,,2017,04/06/2017,15:00,1,botafogo,1.65,5.37,0,0,3.62
9.17,-0.02,78478,Provável,flamengo,1.3,4,Willian Arão,mei,2.0,0.0,,0.0,,,,,2.0,,,,,,,,2.55,0.0,,,2017,04/06/2017,15:00,1,botafogo,1.65,5.37,0,0,3.62
5.98,1.9,79066,Provável,flamengo,8.2,4,Alex Muralha,gol,1.0,,,,,,,,,,,,1.0,1.0,,0.0,,1.0,,,2017,04/06/2017,15:00,1,botafogo,1.65,5.37,0,0,3.62
5.95,0.44,95738,Nulo,flamengo,4.7,4,Trauco,lat,1.0,,,,0.0,,,,2.0,,0.0,,1.0,,,,1.275,0.0,,,2017,04/06/2017,15:00,1,botafogo,1.65,5.37,0,0,3.62
10.79,0.63,95780,Provável,flamengo,4.39,4,Zé Ricardo,tec,,,,,,,,,,,,,,,,,,0.0,,,2017,04/06/2017,15:00,1,botafogo,1.65,5.37,0,0,3.62
3.29,1.43,99535,Nulo,flamengo,5.5,4,Vinicius Junior,ata,2.0,,1.0,1.0,0.0,,,,,,,,,,,,,0.0,,,2017,04/06/2017,15:00,1,botafogo,1.65,5.37,0,0,3.62
7.55,0.51,38311,Provável,flamengo,3.2,7,Márcio Araújo,mei,3.0,,,,0.0,,,,1.0,,1.0,,,,,,3.8249999999999997,0.0,,,2017,15/06/2017,01:00,1,ponte preta,1.55,5.96,2,0,3.92
19.3,0.46,38909,Provável,flamengo,7.2,7,Diego,mei,3.0,1.0,,0.0,1.0,,0.0,,1.0,,,,,,,,1.275,0.0,,,2017,15/06/2017,01:00,1,ponte preta,1.55,5.96,2,0,3.92
14.01,-0.42,50301,Provável,flamengo,1.0,7,Everton,mei,2.0,0.0,,1.0,0.0,0.0,0.0,,3.0,,0.0,,,,,,1.275,0.0,,,2017,15/06/2017,01:00,1,ponte preta,1.55,5.96,2,0,3.92
9.38,-2.62,50348,Nulo,flamengo,0.9,7,Conca,mei,1.0,,,1.0,,,,,,,,,,,,,,0.0,,,2017,15/06/2017,01:00,1,ponte preta,1.55,5.96,2,0,3.92
12.1,2.32,52253,Provável,flamengo,14.1,7,Réver,zag,1.0,,,0.0,,1.0,,,1.0,,0.0,,1.0,,,,1.275,0.0,,,2017,15/06/2017,01:00,1,ponte preta,1.55,5.96,2,0,3.92
