"slug","team","posicao","score.no.cleansheets_mean","G_mean","shotsX_mean","A_mean","RB_mean","PE_mean","faltas_mean"
"apodi","Chapecoense - SC","lat",2.48181818181818,0,0.545454545454545,0.181818181818182,1.63636363636364,2.27272727272727,2
"sidcley","Corinthians - SP","lat",4.07,0.1,0.3,0.1,2,2.2,0.6
"bremer","Atlético - MG","zag",2.71,0.1,0.3,0,2,1.8,1.3
"thiago-carleto","Atlético - PR","lat",5.65,0.166666666666667,2.16666666666667,0.25,1.25,3.41666666666667,0.666666666666667
"valdo","Ceará - CE","zag",1.69,0,0.3,0,1.1,0.5,0.5
"eder-militao","São Paulo - SP","lat",4.09090909090909,0.0909090909090909,1,0.0909090909090909,2.63636363636364,2.36363636363636,2.18181818181818
"david-braz","Santos - SP","zag",1.30769230769231,0,0.538461538461538,0,1.30769230769231,1.69230769230769,1
"kanu","Vitória - BA","zag",-0.0857142857142857,0,0.5,0,1.07142857142857,0.714285714285714,2.35714285714286
"wanderson","Atlético - PR","zag",-0.05,0,0.2,0,1.1,2.2,1.8
"mansur","Paraná - PR","lat",-0.22,0,0.7,0,0.8,2.9,2.2
"ricardo","Vasco da Gama - RJ","zag",0.418181818181818,0,0.0909090909090909,0,1.18181818181818,1.09090909090909,1.45454545454545
"ricardo","Vasco da Gama - RJ","zag",0.383333333333333,0,0.0833333333333333,0,1.08333333333333,1,1.33333333333333
"ricardo","Vasco da Gama - RJ","zag",0.418181818181818,0,0.0909090909090909,0,1.18181818181818,1.09090909090909,1.45454545454545
"ricardo","Vasco da Gama - RJ","zag",0.383333333333333,0,0.0833333333333333,0,1.08333333333333,1,1.33333333333333
"fagner","Corinthians - SP","lat",2.11,0,0.2,0.2,1.9,4.5,1.5
"douglas","Chapecoense - SC","zag",1.72631578947368,0,0.210526315789474,0,1.36842105263158,0.631578947368421,1.26315789473684
"gilberto","Fluminense - RJ","lat",4.67333333333333,0.2,0.933333333333333,0.133333333333333,2.26666666666667,2.73333333333333,1.6
"pedro-henrique","Corinthians - SP","zag",0.736363636363636,0,0.363636363636364,0,1.09090909090909,1.36363636363636,1.27272727272727
"gabriel","Atlético - MG","zag",1.63125,0,0.3125,0,1.1875,0.8125,1
"lucas-verissimo","Santos - SP","zag",0.891666666666667,0,0.333333333333333,0,1.25,1.16666666666667,1.33333333333333
"dede","Cruzeiro - MG","zag",3.70625,0.125,0.8125,0,2.125,1.875,1.3125
"diogo-barbosa","Palmeiras - SP","lat",1.05,0,0.125,0.125,1.375,1.9375,1.875
"cleber-reis","Paraná - PR","zag",2.85833333333333,0,0.5,0,2.25,1.83333333333333,0.75
"joao-lucas","Ceará - CE","lat",0.57,0,0.8,0,0.6,2.5,0.7
"kannemann","Grêmio - RS","zag",4.24615384615385,0,0.230769230769231,0,3.30769230769231,0.923076923076923,1.38461538461538
"edu-dracena","Palmeiras - SP","zag",0.185714285714286,0,0.214285714285714,0,0.785714285714286,0.571428571428571,1
"edilson","Cruzeiro - MG","lat",0.536363636363636,0.0909090909090909,0.636363636363636,0,1.09090909090909,3.09090909090909,1.63636363636364
"claudio-winck","Sport - PE","lat",1.58461538461538,0.153846153846154,1.07692307692308,0.0769230769230769,0.692307692307692,2.84615384615385,2.38461538461538
"tiago","Bahia - BA","zag",2.63529411764706,0.117647058823529,0.941176470588235,0,1.52941176470588,2.23529411764706,1.64705882352941
"henrique","Vasco da Gama - RJ","lat",1.22352941176471,0,0.294117647058824,0.0588235294117647,1.29411764705882,2.05882352941176,1.70588235294118
"aderlan","América - MG","lat",1.96,0,0.266666666666667,0.133333333333333,2.2,2.73333333333333,1.8
"ze-ivaldo","Atlético - PR","zag",0.68,0.0666666666666667,0.4,0,0.933333333333333,1.46666666666667,1.66666666666667
"thiago-heleno","Atlético - PR","zag",1.6,0.1,0.6,0,1,1.2,1.5
"egidio","Cruzeiro - MG","lat",3.55625,0,0.4375,0.0625,3,3.5625,1.5
"leo","Cruzeiro - MG","zag",1.365,0,0.3,0,1.25,0.65,1.1
"patric","Atlético - MG","lat",0.653846153846154,0,0.230769230769231,0.0769230769230769,1.53846153846154,3.15384615384615,2.23076923076923
"ronaldo-alves","Sport - PE","zag",1.18181818181818,0,0.409090909090909,0,1.18181818181818,1.22727272727273,1.31818181818182
"regis","São Paulo - SP","lat",0.7,0,0.2,0.1,1.2,1.5,1.2
"bruno-cortez","Grêmio - RS","lat",1.89444444444444,0,0.0555555555555556,0,1.94444444444444,2.33333333333333,1.5
"giovanni","América - MG","lat",3.27647058823529,0.176470588235294,0.705882352941177,0,1.41176470588235,1.23529411764706,0.882352941176471
"bressan","Grêmio - RS","zag",1.98823529411765,0.0588235294117647,0.235294117647059,0,1.35294117647059,1.17647058823529,1.17647058823529
"rodinei","Flamengo - RJ","lat",2.34090909090909,0,0.590909090909091,0.0909090909090909,1.09090909090909,1.31818181818182,0.818181818181818
"fabiano","Internacional - RS","lat",0.721428571428571,0,0.285714285714286,0.0714285714285714,1.14285714285714,2.64285714285714,1.07142857142857
"yago-pikachu","Vasco da Gama - RJ","lat",6.55652173913044,0.304347826086957,2.1304347826087,0.0434782608695652,1.04347826086957,1.8695652173913,0.608695652173913
"pedro-geromel","Grêmio - RS","zag",4.55454545454546,0,0.454545454545455,0,3.27272727272727,1.45454545454545,0.727272727272727
"raul-prata","Sport - PE","lat",1.33846153846154,0,0.307692307692308,0,1.92307692307692,3.61538461538462,1.53846153846154
"ayrton-lucas","Fluminense - RJ","lat",2.84117647058824,0,0.529411764705882,0,2.05882352941176,2.29411764705882,1.29411764705882
"mantuan","Corinthians - SP","lat",2.68571428571429,0,0.214285714285714,0,2.35714285714286,2.92857142857143,1.71428571428571
"jonathan","Atlético - PR","lat",1.87333333333333,0.0666666666666667,0.0666666666666667,0.266666666666667,0.733333333333333,1.53333333333333,1.06666666666667
"leo-moura","Grêmio - RS","lat",1.99230769230769,0,0,0.153846153846154,1.15384615384615,1.69230769230769,0.769230769230769
"fabio-santos","Atlético - MG","lat",1.19545454545455,0.0909090909090909,0.272727272727273,0,0.954545454545455,2.31818181818182,1.31818181818182
"matheus-ferraz","América - MG","zag",1.035,0,0.15,0,1.25,1.1,1.15
"ernando","Sport - PE","zag",0.78,0,0.1,0,0.85,0.8,0.7
"eduardo","Chapecoense - SC","lat",2.87058823529412,0,0.294117647058824,0.176470588235294,1.70588235294118,2.47058823529412,1.11764705882353
"henrique","Corinthians - SP","zag",1.41739130434783,0.0869565217391304,0.304347826086957,0,0.608695652173913,0.565217391304348,0.695652173913043
"tiago-alves","Ceará - CE","zag",1.6,0.0625,0.25,0,1.25,1.0625,1.1875
"rever","Flamengo - RJ","zag",3.51333333333333,0.133333333333333,1,0,1,0.533333333333333,0.333333333333333
"anderson-martins","São Paulo - SP","zag",1.99375,0.0625,0.625,0,2,1.5625,1.625
"gilson","Botafogo - RJ","lat",2.03333333333333,0.0833333333333333,0.416666666666667,0,1.66666666666667,2.66666666666667,1.58333333333333
"jean","Palmeiras - SP","lat",-0.0545454545454546,0,0.454545454545455,0,0.272727272727273,0.818181818181818,1
"marcos-rocha","Palmeiras - SP","lat",4.44444444444444,0.0555555555555556,0.333333333333333,0.166666666666667,3.5,4.44444444444444,2.5
"lenon","Vasco da Gama - RJ","lat",0.3125,0,0.25,0,0.75,1.875,0.75
"carlinhos","América - MG","lat",3.51333333333333,0.133333333333333,0.933333333333333,0.0666666666666667,2.06666666666667,2.66666666666667,2.13333333333333
"rodrigo-moledo","Internacional - RS","zag",3.16111111111111,0.0555555555555556,0.777777777777778,0,1.77777777777778,1.16666666666667,1.05555555555556
"dodo","Santos - SP","lat",3.03478260869565,0,0.434782608695652,0.0434782608695652,2.26086956521739,3.21739130434783,0.739130434782609
"nino-paraiba","Bahia - BA","lat",4.36666666666667,0,0.533333333333333,0.0666666666666667,2.73333333333333,2.33333333333333,1.2
"digao","Fluminense - RJ","zag",1.16666666666667,0.0833333333333333,0.416666666666667,0,0.916666666666667,1.66666666666667,1.66666666666667
"gum","Fluminense - RJ","zag",1.15,0.05,0.45,0.05,1,2.2,1.55
"ramon","Vasco da Gama - RJ","lat",2.41,0.1,0.5,0,1.6,2.8,1.1
"leonardo-silva","Atlético - MG","zag",3.60769230769231,0.230769230769231,0.692307692307692,0,1.69230769230769,2.53846153846154,1.38461538461538
"victor-ferraz","Santos - SP","lat",2.87222222222222,0.111111111111111,0.444444444444444,0,1.88888888888889,2.16666666666667,0.833333333333333
"danilo-avelar","Corinthians - SP","lat",0.909090909090909,0.0909090909090909,1,0,1.09090909090909,4.27272727272727,2.36363636363636
"luiz-otavio","Ceará - CE","zag",1.885,0,0.3,0,1.65,0.85,0.75
"samuel-xavier","Ceará - CE","lat",2.54615384615385,0.0769230769230769,0.307692307692308,0.153846153846154,1.61538461538462,1.92307692307692,2.15384615384615
"bruno-alves","São Paulo - SP","zag",1.67647058823529,0.0588235294117647,0.470588235294118,0,1.47058823529412,1.17647058823529,1.94117647058824
"rayan","Paraná - PR","zag",1.1,0,0.466666666666667,0,1.26666666666667,1,1.66666666666667
"rene","Paraná - PR","zag",2.45454545454546,0,0.363636363636364,0,2.09090909090909,2,1
"gustavo-henrique","Santos - SP","zag",1.44666666666667,0.0666666666666667,0.866666666666667,0,0.866666666666667,1.66666666666667,1.46666666666667
"rene","Flamengo - RJ","lat",4.02173913043478,0.0434782608695652,0.304347826086957,0.130434782608696,2.82608695652174,3.60869565217391,1.30434782608696
"reinaldo","São Paulo - SP","lat",4.13333333333333,0.111111111111111,1.83333333333333,0.0555555555555556,2,3.38888888888889,1.88888888888889
