"team_name","strength","attack","defense","n_games"
"285",1.02,1.49,1.36,115
"280",0.98,1.28,1.55,39
"282",0.82,1.6,1.11,115
"262",0.82,1.82,0.97,115
"266",0.76,1.41,1.2,115
"293",0.75,1.15,1.46,115
"276",0.6,1.44,1.05,115
"284",0.51,1.41,1.01,115
"275",0.44,1.15,1.19,115
"354",0.39,1.43,0.92,115
"264",0.35,1.1,1.16,115
"373",0.3,1.23,1,39
"265",0.24,1.32,0.89,115
"277",0,1.19,0.84,115
"290",-0.36,1.11,0.7,77
"267",-0.41,0.96,0.78,115
"356",-0.54,0.81,0.85,77
"292",-0.57,0.73,0.92,77
"294",-0.71,0.81,0.76,39
"263",-0.95,0.76,0.68,115
